



Ljava/net/Socket;->closeV
347676 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->connectV
347771 + Lcom/fsck/k9/service/MailService; onDestroy
347780 - Lcom/fsck/k9/service/MailService; onDestroy
Ljava/net/Socket;->connectV
350915 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
350931 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
350937 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
350941 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
350941 + Lcom/fsck/k9/activity/MessageList; onPause
350947 - Lcom/fsck/k9/activity/MessageList; onPause
350963 + Lcom/fsck/k9/activity/MessageCompose; onCreate
350964 + Lcom/fsck/k9/K9Activity; onCreate
350965 - Lcom/fsck/k9/K9Activity; onCreate
351111 - Lcom/fsck/k9/activity/MessageCompose; onCreate
351112 + Lcom/fsck/k9/activity/MessageCompose; onResume
351112 + Lcom/fsck/k9/K9Activity; onResume
351115 - Lcom/fsck/k9/K9Activity; onResume
351117 - Lcom/fsck/k9/activity/MessageCompose; onResume
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
353207 + Lcom/fsck/k9/activity/MessageCompose; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@44050300
353232 - Lcom/fsck/k9/activity/MessageCompose; onCreateOptionsMenu
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
355103 + Lcom/fsck/k9/activity/MessageCompose; onPause
355104 - Lcom/fsck/k9/activity/MessageCompose; onPause
355129 + Lcom/fsck/k9/activity/MessageList; onResume
355130 + Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->connectV
355132 - Lcom/fsck/k9/K9Activity; onResume
355316 - Lcom/fsck/k9/activity/MessageList; onResume
357068 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
357070 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
359008 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Read/unread
359015 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
361330 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Batch Ops
361333 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
362467 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Select all
362468 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
363524 + Lcom/fsck/k9/activity/MessageList; onClick android.widget.Button@44037898
363526 - Lcom/fsck/k9/activity/MessageList; onClick
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
365403 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder list
365442 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
365449 + Lcom/fsck/k9/activity/MessageList; onPause
365449 - Lcom/fsck/k9/activity/MessageList; onPause
365474 + Lcom/fsck/k9/activity/FolderList; onCreate
365475 + Lcom/fsck/k9/K9ListActivity; onCreate
365477 - Lcom/fsck/k9/K9ListActivity; onCreate
365564 - Lcom/fsck/k9/activity/FolderList; onCreate
365565 + Lcom/fsck/k9/activity/FolderList; onResume
365566 + Lcom/fsck/k9/K9ListActivity; onResume
365568 - Lcom/fsck/k9/K9ListActivity; onResume
Ljava/net/Socket;->connectV
365641 - Lcom/fsck/k9/activity/FolderList; onResume
366885 + Lcom/fsck/k9/activity/FolderList; onPause
366886 - Lcom/fsck/k9/activity/FolderList; onPause
368010 + Lcom/fsck/k9/activity/Accounts; onCreate
368018 + Lcom/fsck/k9/K9ListActivity; onCreate
368024 - Lcom/fsck/k9/K9ListActivity; onCreate
368087 - Lcom/fsck/k9/activity/Accounts; onCreate
368110 + Lcom/fsck/k9/activity/MessageList; onCreate
368111 + Lcom/fsck/k9/K9Activity; onCreate
368116 - Lcom/fsck/k9/K9Activity; onCreate
368171 - Lcom/fsck/k9/activity/MessageList; onCreate
368172 + Lcom/fsck/k9/activity/MessageList; onResume
368178 + Lcom/fsck/k9/K9Activity; onResume
368187 - Lcom/fsck/k9/K9Activity; onResume
368317 - Lcom/fsck/k9/activity/MessageList; onResume
369100 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@44164708
369152 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
Ljava/net/Socket;->connectV
370299 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
370301 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
376205 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Account settings
376224 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
376252 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
376254 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
376254 + Lcom/fsck/k9/activity/MessageList; onPause
376255 - Lcom/fsck/k9/activity/MessageList; onPause
376269 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
376270 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
376276 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
376502 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
376503 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
376507 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
383291 + Lcom/fsck/k9/service/MailService; onCreate
383292 - Lcom/fsck/k9/service/MailService; onCreate
383329 + Lcom/fsck/k9/service/MailService; onDestroy
383330 - Lcom/fsck/k9/service/MailService; onDestroy
385012 + Lcom/fsck/k9/service/MailService; onCreate
385013 - Lcom/fsck/k9/service/MailService; onCreate
385028 + Lcom/fsck/k9/activity/MessageList; onResume
385029 + Lcom/fsck/k9/K9Activity; onResume
385031 - Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
385142 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
385711 + Lcom/fsck/k9/service/MailService; onDestroy
385711 - Lcom/fsck/k9/service/MailService; onDestroy
386275 + Lcom/fsck/k9/activity/MessageList; onPause
386276 - Lcom/fsck/k9/activity/MessageList; onPause
392628 + Lcom/fsck/k9/activity/Accounts; onCreate
Ljava/net/Socket;->closeV
392800 + Lcom/fsck/k9/K9ListActivity; onCreate
392920 - Lcom/fsck/k9/K9ListActivity; onCreate
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
393723 - Lcom/fsck/k9/activity/Accounts; onCreate
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
393855 + Lcom/fsck/k9/activity/MessageList; onCreate
393855 + Lcom/fsck/k9/K9Activity; onCreate
393872 - Lcom/fsck/k9/K9Activity; onCreate
Ljava/net/Socket;->closeV
394059 - Lcom/fsck/k9/activity/MessageList; onCreate
394060 + Lcom/fsck/k9/activity/MessageList; onResume
394065 + Lcom/fsck/k9/K9Activity; onResume
394070 - Lcom/fsck/k9/K9Activity; onResume
394107 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
