

Ljava/net/Socket;->connectV
29781555 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@443b0db8
29781571 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
29788454 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Mark all messages as read
29788488 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
29792343 + Lcom/fsck/k9/activity/MessageList$3; onClick android.app.AlertDialog@442f99b0
29792356 - Lcom/fsck/k9/activity/MessageList$3; onClick
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
29799743 + Lcom/fsck/k9/service/MailService; onCreate
29799744 - Lcom/fsck/k9/service/MailService; onCreate
29799813 + Lcom/fsck/k9/service/MailService; onDestroy
29799814 - Lcom/fsck/k9/service/MailService; onDestroy
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
29804608 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Account settings
29804641 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
29804643 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
29804644 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
29804646 + Lcom/fsck/k9/activity/MessageList; onPause
29804646 - Lcom/fsck/k9/activity/MessageList; onPause
29804661 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
29804661 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
29804668 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
29804836 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
29804837 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
29804840 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
Ljava/net/Socket;->closeV
