



3465743 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
3465745 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
3474442 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Account settings
3474456 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
3474482 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
3474483 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
3474484 + Lcom/fsck/k9/activity/MessageList; onPause
3474484 - Lcom/fsck/k9/activity/MessageList; onPause
3474497 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
3474497 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
3474503 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
3474695 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
3474696 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
3474707 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
3480963 + Lcom/fsck/k9/service/MailService; onCreate
3480964 - Lcom/fsck/k9/service/MailService; onCreate
3481008 + Lcom/fsck/k9/activity/MessageList; onResume
3481009 + Lcom/fsck/k9/K9Activity; onResume
3481011 - Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
3481238 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
3481464 + Lcom/fsck/k9/service/MailService; onDestroy
3481464 - Lcom/fsck/k9/service/MailService; onDestroy
3483598 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
3483745 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
3483803 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
3483804 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
3483804 + Lcom/fsck/k9/activity/MessageList; onPause
3483805 - Lcom/fsck/k9/activity/MessageList; onPause
3483920 + Lcom/fsck/k9/activity/MessageCompose; onCreate
3483920 + Lcom/fsck/k9/K9Activity; onCreate
3483935 - Lcom/fsck/k9/K9Activity; onCreate
3484166 - Lcom/fsck/k9/activity/MessageCompose; onCreate
3484166 + Lcom/fsck/k9/activity/MessageCompose; onResume
3484167 + Lcom/fsck/k9/K9Activity; onResume
3484169 - Lcom/fsck/k9/K9Activity; onResume
3484170 - Lcom/fsck/k9/activity/MessageCompose; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
3486474 + Lcom/fsck/k9/service/MailService; onCreate
3486474 - Lcom/fsck/k9/service/MailService; onCreate
3486500 + Lcom/fsck/k9/service/MailService; onDestroy
3486501 - Lcom/fsck/k9/service/MailService; onDestroy
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
3489055 + Lcom/fsck/k9/activity/MessageCompose; onPause
3489056 - Lcom/fsck/k9/activity/MessageCompose; onPause
3489065 + Lcom/fsck/k9/activity/MessageList; onResume
3489066 + Lcom/fsck/k9/K9Activity; onResume
3489067 - Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
3489487 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
3492012 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
3492013 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
3493577 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Star
3493591 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
3495925 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Batch Ops
3495926 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->closeV
3497724 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Select all
3497732 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
3498986 + Lcom/fsck/k9/activity/MessageList; onClick android.widget.Button@44167ed8
3498990 - Lcom/fsck/k9/activity/MessageList; onClick
3500672 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder list
3500697 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
3500698 + Lcom/fsck/k9/activity/MessageList; onPause
3500698 - Lcom/fsck/k9/activity/MessageList; onPause
3500717 + Lcom/fsck/k9/activity/FolderList; onCreate
3500717 + Lcom/fsck/k9/K9ListActivity; onCreate
3500722 - Lcom/fsck/k9/K9ListActivity; onCreate
3500751 - Lcom/fsck/k9/activity/FolderList; onCreate
3500752 + Lcom/fsck/k9/activity/FolderList; onResume
3500752 + Lcom/fsck/k9/K9ListActivity; onResume
3500754 - Lcom/fsck/k9/K9ListActivity; onResume
3500890 - Lcom/fsck/k9/activity/FolderList; onResume
3502695 + Lcom/fsck/k9/activity/FolderList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@441ba6e8
3502712 - Lcom/fsck/k9/activity/FolderList; onCreateOptionsMenu
3503701 + Lcom/fsck/k9/activity/FolderList; onOptionsItemSelected Check mail
3503704 - Lcom/fsck/k9/activity/FolderList; onOptionsItemSelected
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
3507978 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@4402da50
3507993 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
3507994 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
3507995 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
3507996 + Lcom/fsck/k9/activity/FolderList; onPause
3507996 - Lcom/fsck/k9/activity/FolderList; onPause
3508012 + Lcom/fsck/k9/activity/MessageList; onCreate
3508012 + Lcom/fsck/k9/K9Activity; onCreate
3508015 - Lcom/fsck/k9/K9Activity; onCreate
3508061 - Lcom/fsck/k9/activity/MessageList; onCreate
3508062 + Lcom/fsck/k9/activity/MessageList; onResume
3508062 + Lcom/fsck/k9/K9Activity; onResume
3508064 - Lcom/fsck/k9/K9Activity; onResume
3508115 - Lcom/fsck/k9/activity/MessageList; onResume
3508906 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@43f57a00
3508911 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
3512050 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder settings
3512063 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
3512078 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
3512080 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
3512081 + Lcom/fsck/k9/activity/MessageList; onPause
3512082 - Lcom/fsck/k9/activity/MessageList; onPause
3512197 + Lcom/fsck/k9/activity/setup/FolderSettings; onCreate
3512198 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
3512213 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
3512259 - Lcom/fsck/k9/activity/setup/FolderSettings; onCreate
3512260 + Lcom/fsck/k9/activity/setup/FolderSettings; onResume
3512262 - Lcom/fsck/k9/activity/setup/FolderSettings; onResume
3513240 + Lcom/fsck/k9/service/MailService; onCreate
3513240 - Lcom/fsck/k9/service/MailService; onCreate
3513267 + Lcom/fsck/k9/activity/MessageList; onResume
3513268 + Lcom/fsck/k9/K9Activity; onResume
3513270 - Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
3513603 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
3513888 + Lcom/fsck/k9/service/MailService; onDestroy
3513888 - Lcom/fsck/k9/service/MailService; onDestroy
Ljava/net/Socket;->closeV
3516856 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
Ljava/net/Socket;->closeV
3516884 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
3516940 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
3516941 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
3516941 + Lcom/fsck/k9/activity/MessageList; onPause
3516941 - Lcom/fsck/k9/activity/MessageList; onPause
3516967 + Lcom/fsck/k9/activity/MessageCompose; onCreate
3516970 + Lcom/fsck/k9/K9Activity; onCreate
3516972 - Lcom/fsck/k9/K9Activity; onCreate
Ljava/net/Socket;->closeV
3517260 - Lcom/fsck/k9/activity/MessageCompose; onCreate
3517261 + Lcom/fsck/k9/activity/MessageCompose; onResume
3517261 + Lcom/fsck/k9/K9Activity; onResume
3517263 - Lcom/fsck/k9/K9Activity; onResume
3517265 - Lcom/fsck/k9/activity/MessageCompose; onResume
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
3519221 + Lcom/fsck/k9/activity/MessageCompose; onPause
3519222 - Lcom/fsck/k9/activity/MessageCompose; onPause
3519269 + Lcom/fsck/k9/activity/MessageList; onResume
3519273 + Lcom/fsck/k9/K9Activity; onResume
3519284 - Lcom/fsck/k9/K9Activity; onResume
Ljava/net/Socket;->connectV
3519530 - Lcom/fsck/k9/activity/MessageList; onResume
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->closeV
3521933 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
3521934 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
Ljava/net/Socket;->closeV
3524001 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Date
3524006 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
3526095 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Batch Ops
3526096 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
Ljava/net/Socket;->connectV
3527278 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Select all
3527281 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
Ljava/net/Socket;->connectV
3528086 + Lcom/fsck/k9/activity/MessageList; onClick android.widget.Button@44227760
3528087 - Lcom/fsck/k9/activity/MessageList; onClick
Ljava/net/Socket;->closeV
