Time (s),Main Avg Power (mW)
0.0000,1184.651
0.0002,1190.186
0.0004,1180.960
0.0006,1167.727
0.0008,1243.530
0.0010,1219.710
0.0012,1194.038
0.0014,1184.651
0.0016,1192.193
0.0018,1184.811
0.0020,1190.348
0.0022,1194.038
0.0024,1184.811
0.0026,1196.918
0.0028,1232.460
0.0030,1202.940
0.0032,1186.656
0.0034,1188.341
0.0036,1253.094
0.0038,1184.971
0.0040,1193.877
0.0042,1194.200
0.0044,1188.341
0.0046,1188.341
0.0048,1203.103
0.0050,1216.020
0.0052,1184.490
0.0054,1193.877
0.0056,1199.412
0.0058,1199.575
0.0060,1199.575
0.0062,1192.193
0.0064,1197.567
0.0066,1192.031
0.0068,1208.475
0.0070,1219.710
0.0072,1195.560
0.0074,1219.710
0.0076,1201.258
0.0078,1197.729
0.0080,1188.663
0.0082,1186.656
0.0084,1182.965
0.0086,1184.811
0.0088,1193.877
0.0090,1206.793
0.0092,1188.180
0.0094,1186.335
0.0096,1194.200
0.0098,1116.376
0.0100,1097.775
0.0102,1151.592
0.0104,1190.348
0.0106,1177.270
0.0108,1182.965
0.0110,1214.175
0.0112,1190.186
0.0114,1179.115
0.0116,1193.715
0.0118,1214.175
0.0120,1204.948
0.0122,1171.734
0.0124,1164.510
0.0126,1177.429
0.0128,1195.722
0.0130,1206.793
0.0132,1182.805
0.0134,1160.662
0.0136,1173.579
0.0138,1191.870
0.0140,1190.186
0.0142,1169.889
0.0144,1186.335
0.0146,1201.421
0.0148,1194.038
0.0150,1206.957
0.0152,1197.567
0.0154,1182.965
0.0156,1184.971
0.0158,1179.115
0.0160,1168.043
0.0162,1158.817
0.0164,1175.106
0.0166,1197.892
0.0168,1188.341
0.0170,1182.965
0.0172,1223.567
0.0174,1219.875
0.0176,1195.722
0.0178,1195.722
0.0180,1192.031
0.0182,1187.697
0.0184,1188.341
0.0186,1190.348
0.0188,1186.817
0.0190,1203.429
0.0192,1227.424
0.0194,1197.405
0.0196,1229.103
0.0198,1186.496
0.0200,1190.186
0.0202,1186.496
0.0204,1188.341
0.0206,1197.405
0.0208,1192.193
0.0210,1197.729
0.0212,1212.986
0.0214,1190.348
0.0216,1188.663
0.0218,1184.651
0.0220,1193.715
0.0222,1197.567
0.0224,1203.103
0.0226,1232.460
0.0228,1218.030
0.0230,1271.722
0.0232,1217.865
0.0234,1197.892
0.0236,1186.496
0.0238,1194.038
0.0240,1184.651
0.0242,1188.180
0.0244,1182.805
0.0246,1184.651
0.0248,1188.341
0.0250,1182.805
0.0252,1216.184
0.0254,1196.046
0.0256,1186.496
0.0258,1186.656
0.0260,1182.805
0.0262,1164.353
0.0264,1098.073
0.0266,1120.067
0.0268,1212.494
0.0270,1203.103
0.0272,1192.031
0.0274,1199.737
0.0276,1182.965
0.0278,1190.348
0.0280,1195.884
0.0282,1205.111
0.0284,1210.484
0.0286,1186.496
0.0288,1162.507
0.0290,1171.734
0.0292,1193.877
0.0294,1203.103
0.0296,1180.960
0.0298,1162.665
0.0300,1162.665
0.0302,1187.139
0.0304,1190.509
0.0306,1179.115
0.0308,1171.734
0.0310,1206.793
0.0312,1203.103
0.0314,1217.865
0.0316,1188.341
0.0318,1180.960
0.0320,1182.965
0.0322,1177.270
0.0324,1181.120
0.0326,1162.665
0.0328,1173.738
0.0330,1190.186
0.0332,1238.163
0.0334,1204.785
0.0336,1184.651
0.0338,1228.937
0.0340,1205.111
0.0342,1190.509
0.0344,1186.817
0.0346,1192.354
0.0348,1182.965
0.0350,1188.341
0.0352,1192.031
0.0354,1214.010
0.0356,1210.320
0.0358,1193.877
0.0360,1194.038
0.0362,1182.965
0.0364,1192.193
0.0366,1195.722
0.0368,1186.656
0.0370,1197.729
0.0372,1192.031
0.0374,1212.494
0.0376,1201.095
0.0378,1197.243
0.0380,1189.864
0.0382,1188.502
0.0384,1192.354
0.0386,1194.038
0.0388,1192.193
0.0390,1190.348
0.0392,1186.335
0.0394,1203.103
0.0396,1258.460
0.0398,1186.174
0.0400,1186.496
0.0402,1191.870
0.0404,1193.877
0.0406,1184.811
0.0408,1186.656
0.0410,1184.811
0.0412,1186.496
0.0414,1192.031
0.0416,1212.329
0.0418,1182.805
0.0420,1180.960
0.0422,1192.031
0.0424,1190.025
0.0426,1188.341
0.0428,1109.296
0.0430,1103.459
0.0432,1168.202
0.0434,1197.567
0.0436,1203.266
0.0438,1179.115
0.0440,1188.341
0.0442,1182.645
0.0444,1184.651
0.0446,1197.567
0.0448,1217.865
0.0450,1199.575
0.0452,1170.205
0.0454,1168.202
0.0456,1210.484
0.0458,1190.186
0.0460,1179.275
0.0462,1166.040
0.0464,1160.662
0.0466,1177.270
0.0468,1193.877
0.0470,1188.341
0.0472,1166.198
0.0474,1197.892
0.0476,1223.732
0.0478,1220.371
0.0480,1179.115
0.0482,1190.186
0.0484,1184.651
0.0486,1184.490
0.0488,1184.651
0.0490,1171.734
0.0492,1166.198
0.0494,1190.348
0.0496,1218.030
0.0498,1212.658
0.0500,1171.734
0.0502,1221.556
0.0504,1221.556
0.0506,1208.639
0.0508,1206.793
0.0510,1204.948
0.0512,1186.335
0.0514,1190.186
0.0516,1199.575
0.0518,1214.504
0.0520,1197.567
0.0522,1195.722
0.0524,1201.421
0.0526,1214.175
0.0528,1199.088
0.0530,1191.870
0.0532,1184.651
0.0534,1193.877
0.0536,1201.421
0.0538,1220.536
0.0540,1195.884
0.0542,1184.490
0.0544,1190.348
0.0546,1186.496
0.0548,1186.656
0.0550,1192.031
0.0552,1193.877
0.0554,1191.870
0.0556,1188.341
0.0558,1217.865
0.0560,1193.877
0.0562,1188.502
0.0564,1186.656
0.0566,1188.341
0.0568,1201.258
0.0570,1184.651
0.0572,1184.330
0.0574,1186.335
0.0576,1186.335
0.0578,1217.865
0.0580,1199.412
0.0582,1186.817
0.0584,1179.115
0.0586,1184.651
0.0588,1190.348
0.0590,1190.186
0.0592,1123.757
0.0594,1101.614
0.0596,1192.193
0.0598,1206.467
0.0600,1199.412
0.0602,1173.579
0.0604,1188.502
0.0606,1181.120
0.0608,1183.126
0.0610,1188.341
0.0612,1212.165
0.0614,1205.111
0.0616,1175.424
0.0618,1179.115
0.0620,1197.567
0.0622,1186.656
0.0624,1177.429
