Time (s),Main Avg Power (mW)
0.0706,10.479
0.0708,10.059
0.0710,18.413
0.0712,10.385
0.0714,11.626
0.0716,10.052
0.0718,10.903
0.0720,10.915
0.0722,11.598
0.0724,10.568
0.0726,9.871
0.0728,11.200
0.0730,10.753
0.0732,12.135
0.0734,10.516
0.0736,11.144
0.0738,10.200
0.0740,16.586
0.0742,11.493
0.0744,10.509
0.0746,11.377
0.0748,9.834
0.0750,11.008
0.0752,11.698
0.0754,11.565
0.0756,10.318
0.0758,10.540
0.0760,10.358
0.0762,11.417
0.0764,11.744
0.0766,9.527
0.0768,11.495
0.0770,10.040
0.0772,19.578
0.0774,9.601
0.0776,11.203
0.0778,10.309
0.0780,9.950
0.0782,11.882
0.0784,10.309
0.0786,11.469
0.0788,9.933
0.0790,10.741
0.0792,10.546
0.0794,11.757
0.0796,10.981
0.0798,9.552
0.0800,11.340
0.0802,10.562
0.0804,18.871
0.0806,9.844
0.0808,11.126
0.0810,10.248
0.0812,11.466
0.0814,10.976
0.0816,10.469
0.0818,10.587
0.0820,10.270
0.0822,11.650
0.0824,10.865
0.0826,11.264
0.0828,10.457
0.0830,10.856
0.0832,9.945
0.0834,12.809
0.0836,16.921
0.0838,11.358
0.0840,9.120
0.0842,10.076
0.0844,12.658
0.0846,10.688
0.0848,11.111
0.0850,10.428
0.0852,11.432
0.0854,11.072
0.0856,10.021
0.0858,11.617
0.0860,9.948
0.0862,11.582
0.0864,10.287
0.0866,11.609
0.0868,16.567
0.0870,11.934
0.0872,9.731
0.0874,11.271
0.0876,11.352
0.0878,10.516
0.0880,10.605
0.0882,9.774
0.0884,10.974
0.0886,11.094
0.0888,11.321
0.0890,9.918
0.0892,10.993
0.0894,10.196
0.0896,12.610
0.0898,15.072
0.0900,11.609
0.0902,10.472
0.0904,9.464
0.0906,12.379
0.0908,10.361
0.0910,11.289
0.0912,9.601
0.0914,11.472
0.0916,11.314
0.0918,11.587
0.0920,10.428
0.0922,9.974
0.0924,11.204
0.0926,11.432
0.0928,11.577
0.0930,17.320
0.0932,10.191
0.0934,10.106
0.0936,12.577
0.0938,10.837
0.0940,10.934
0.0942,10.344
0.0944,11.458
0.0946,10.878
0.0948,12.143
0.0950,10.051
0.0952,11.478
0.0954,9.822
0.0956,11.063
0.0958,11.670
0.0960,10.679
0.0962,17.598
0.0964,9.733
0.0966,11.744
0.0968,10.976
0.0970,11.493
0.0972,10.104
0.0974,9.818
0.0976,11.097
0.0978,11.713
0.0980,11.827
0.0982,10.073
0.0984,10.846
0.0986,10.661
0.0988,12.587
0.0990,10.578
0.0992,10.250
0.0994,17.276
0.0996,10.380
0.0998,12.207
0.1000,10.259
0.1002,10.998
0.1004,10.561
0.1006,9.913
0.1008,12.082
0.1010,10.532
0.1012,11.380
0.1014,9.952
0.1016,11.125
0.1018,10.546
0.1020,12.026
0.1022,10.918
0.1024,9.264
0.1026,16.956
0.1028,11.462
0.1030,11.129
0.1032,10.154
0.1034,11.470
0.1036,9.280
0.1038,11.953
0.1040,10.893
0.1042,11.351
0.1044,10.388
0.1046,9.915
0.1048,11.170
0.1050,10.937
0.1052,11.928
0.1054,10.100
0.1056,11.263
0.1058,15.153
0.1060,12.778
0.1062,10.428
0.1064,10.518
0.1066,11.100
0.1068,9.758
0.1070,12.408
0.1072,10.689
0.1074,11.351
0.1076,9.460
0.1078,11.167
0.1080,10.708
0.1082,12.314
0.1084,10.075
0.1086,9.822
0.1088,16.008
0.1090,11.064
0.1092,12.305
0.1094,9.934
0.1096,11.181
0.1098,11.292
0.1100,10.416
0.1102,12.660
0.1104,10.688
0.1106,11.402
0.1108,10.391
0.1110,10.691
0.1112,11.583
0.1114,10.540
0.1116,10.513
0.1118,9.852
0.1120,17.480
0.1122,11.013
0.1124,11.537
0.1126,10.531
0.1128,10.385
0.1130,9.759
0.1132,12.528
0.1134,10.480
0.1136,38.547
0.1138,11.358
0.1140,10.223
0.1142,11.987
0.1144,10.562
0.1146,11.591
0.1148,11.537
0.1150,12.049
0.1152,17.771
0.1154,16.249
0.1156,21.124
0.1158,21.285
0.1160,30.094
0.1162,28.188
0.1164,27.040
0.1166,27.022
0.1168,31.999
0.1170,26.881
0.1172,26.904
0.1174,29.355
0.1176,31.977
0.1178,41.245
0.1180,48.979
0.1182,58.799
0.1184,60.514
0.1186,37.048
0.1188,20.390
0.1190,10.657
0.1192,10.276
0.1194,18.522
0.1196,10.680
0.1198,11.023
0.1200,9.752
0.1202,10.979
0.1204,11.996
0.1206,10.776
0.1208,9.977
0.1210,10.224
0.1212,11.523
0.1214,11.271
0.1216,11.736
0.1218,10.240
0.1220,10.366
0.1222,10.779
0.1224,17.077
0.1226,11.611
0.1228,10.865
0.1230,11.055
0.1232,9.933
0.1234,11.779
0.1236,10.784
0.1238,10.826
0.1240,10.509
0.1242,10.590
0.1244,11.435
0.1246,10.806
0.1248,11.735
0.1250,9.844
0.1252,11.057
0.1254,9.915
0.1256,18.342
0.1258,10.806
0.1260,10.152
0.1262,10.785
0.1264,9.384
0.1266,12.244
0.1268,10.859
0.1270,11.117
0.1272,9.778
0.1274,10.905
0.1276,11.145
0.1278,12.033
0.1280,9.982
0.1282,10.051
0.1284,10.475
0.1286,16.554
0.1288,12.630
0.1290,9.449
0.1292,11.126
0.1294,10.103
