Time (s),Main Avg Power (mW)
0.0706,10.518
0.0708,12.074
0.0710,11.732
0.0712,9.966
0.0714,12.204
0.0716,17.712
0.0718,11.185
0.0720,12.352
0.0722,9.728
0.0724,12.436
0.0726,12.285
0.0728,10.054
0.0730,12.463
0.0732,10.682
0.0734,12.547
0.0736,11.609
0.0738,10.141
0.0740,13.359
0.0742,10.202
0.0744,11.828
0.0746,18.613
0.0748,9.877
0.0750,12.610
0.0752,10.890
0.0754,10.415
0.0756,13.359
0.0758,10.695
0.0760,11.673
0.0762,10.896
0.0764,11.584
0.0766,12.226
0.0768,10.979
0.0770,11.551
0.0772,11.671
0.0774,11.974
0.0776,13.241
0.0778,15.051
0.0780,11.041
0.0782,11.553
0.0784,11.739
0.0786,10.319
0.0788,13.088
0.0790,11.377
0.0792,10.853
0.0794,12.012
0.0796,10.654
0.0798,12.810
0.0800,10.285
0.0802,11.315
0.0804,12.665
0.0806,10.868
0.0808,18.145
0.0810,10.521
0.0812,11.537
0.0814,13.079
0.0816,10.285
0.0818,11.117
0.0820,12.012
0.0822,11.362
0.0824,12.396
0.0826,10.671
0.0828,11.352
0.0830,12.077
0.0832,11.184
0.0834,10.998
0.0836,12.315
0.0838,17.099
0.0840,11.621
0.0842,11.481
0.0844,11.116
0.0846,11.820
0.0848,11.901
0.0850,9.787
0.0852,13.339
0.0854,10.011
0.0856,12.407
0.0858,11.934
0.0860,9.795
0.0862,13.300
0.0864,10.601
0.0866,11.027
0.0868,12.099
0.0870,16.956
0.0872,12.894
0.0874,10.686
0.0876,11.330
0.0878,11.964
0.0880,11.466
0.0882,11.235
0.0884,11.850
0.0886,11.587
0.0888,11.033
0.0890,11.495
0.0892,11.383
0.0894,11.820
0.0896,11.392
0.0898,10.794
0.0900,18.034
0.0902,11.584
0.0904,11.203
0.0906,12.160
0.0908,11.088
0.0910,11.931
0.0912,11.942
0.0914,10.165
0.0916,13.064
0.0918,9.782
0.0920,12.226
0.0922,11.742
0.0924,10.311
0.0926,13.101
0.0928,10.262
0.0930,16.124
0.0932,13.238
0.0934,10.667
0.0936,12.318
0.0938,11.262
0.0940,10.828
0.0942,12.011
0.0944,11.405
0.0946,11.643
0.0948,11.348
0.0950,11.650
0.0952,10.809
0.0954,12.119
0.0956,10.629
0.0958,12.654
0.0960,11.385
0.0962,16.740
0.0964,12.699
0.0966,9.938
0.0968,12.750
0.0970,10.800
0.0972,11.286
0.0974,12.660
0.0976,10.366
0.0978,11.448
0.0980,12.315
0.0982,10.927
0.0984,12.326
0.0986,11.122
0.0988,11.448
0.0990,11.735
0.0992,17.623
0.0994,10.016
0.0996,12.724
0.0998,11.700
0.1000,10.605
0.1002,12.285
0.1004,11.104
0.1006,12.104
0.1008,10.896
0.1010,10.717
0.1012,12.202
0.1014,11.244
0.1016,11.362
0.1018,11.742
0.1020,10.245
0.1022,13.182
0.1024,17.591
0.1026,10.113
0.1028,13.382
0.1030,10.543
0.1032,12.248
0.1034,11.678
0.1036,11.029
0.1038,13.131
0.1040,10.668
0.1042,11.876
0.1044,11.178
0.1046,11.562
0.1048,12.815
0.1050,10.883
0.1052,10.936
0.1054,17.830
0.1056,11.968
0.1058,11.045
0.1060,11.901
0.1062,10.775
0.1064,11.732
0.1066,12.130
0.1068,10.105
0.1070,13.042
0.1072,10.745
0.1074,10.912
0.1076,12.806
0.1078,10.099
0.1080,12.832
0.1082,10.809
0.1084,11.810
0.1086,18.613
0.1088,10.224
0.1090,12.099
0.1092,11.444
0.1094,10.689
0.1096,12.581
0.1098,11.156
0.1100,11.441
0.1102,11.795
0.1104,11.362
0.1106,10.283
0.1108,12.810
0.1110,10.745
0.1112,11.507
0.1114,12.225
0.1116,15.940
0.1118,13.511
0.1120,11.495
0.1122,11.641
0.1124,13.367
0.1126,10.597
0.1128,12.514
0.1130,10.911
0.1132,11.551
0.1134,12.525
0.1136,10.255
0.1138,11.560
0.1140,11.587
0.1142,11.392
0.1144,11.117
0.1146,12.510
0.1148,17.274
0.1150,11.934
0.1152,11.466
0.1154,10.046
0.1156,12.721
0.1158,11.259
0.1160,10.927
0.1162,12.446
0.1164,10.230
0.1166,13.186
0.1168,10.143
0.1170,11.147
0.1172,12.979
0.1174,10.041
0.1176,12.481
0.1178,17.502
0.1180,10.311
0.1182,12.668
0.1184,10.262
0.1186,11.348
0.1188,12.396
0.1190,10.432
0.1192,12.145
0.1194,10.608
0.1196,11.212
0.1198,13.419
0.1200,10.632
0.1202,10.779
0.1204,11.673
0.1206,11.444
0.1208,12.138
0.1210,16.848
0.1212,10.999
0.1214,13.265
0.1216,10.475
0.1218,11.617
0.1220,10.668
0.1222,11.472
0.1224,12.370
0.1226,11.063
0.1228,10.636
0.1230,11.842
0.1232,11.988
0.1234,11.591
0.1236,10.959
0.1238,11.148
0.1240,18.093
0.1242,11.436
0.1244,11.259
0.1246,11.832
0.1248,41.411
0.1250,10.137
0.1252,12.426
0.1254,11.014
0.1256,11.591
0.1258,12.011
0.1260,10.319
0.1262,12.854
0.1264,11.739
0.1266,10.903
0.1268,24.681
0.1270,20.554
0.1272,28.299
0.1274,26.184
0.1276,29.140
0.1278,31.275
0.1280,26.918
0.1282,27.291
0.1284,31.481
0.1286,29.262
0.1288,28.646
0.1290,37.481
0.1292,47.777
0.1294,56.982
0.1296,59.788
0.1298,51.518
0.1300,25.656
0.1302,14.755
0.1304,11.554
0.1306,12.141
0.1308,16.976
0.1310,12.355
0.1312,10.986
0.1314,10.730
0.1316,12.012
0.1318,11.057
0.1320,11.978
0.1322,15.084
0.1324,9.558
0.1326,13.326
0.1328,10.363
0.1330,11.569
0.1332,12.076
0.1334,10.577
0.1336,19.378
0.1338,11.198
0.1340,9.876
0.1342,13.507
0.1344,10.260
0.1346,11.673
0.1348,12.340
0.1350,10.444
0.1352,13.020
0.1354,10.403
0.1356,11.352
0.1358,11.828
0.1360,11.444
0.1362,11.929
0.1364,11.170
0.1366,14.777
0.1368,14.892
0.1370,11.008
0.1372,11.522
0.1374,11.436
0.1376,12.086
0.1378,11.038
0.1380,11.107
0.1382,11.274
0.1384,12.645
0.1386,10.897
0.1388,10.821
0.1390,11.813
0.1392,11.693
0.1394,11.436
0.1396,11.329
0.1398,16.787
0.1400,11.422
0.1402,12.266
0.1404,11.086
0.1406,11.795
0.1408,11.359
0.1410,10.597
0.1412,12.278
0.1414,10.291
0.1416,11.942
0.1418,12.374
0.1420,10.319
0.1422,12.673
0.1424,10.283
0.1426,11.562
0.1428,19.218
0.1430,10.629
0.1432,12.689
0.1434,11.554
0.1436,11.145
0.1438,13.539
0.1440,10.189
0.1442,11.200
0.1444,11.447
0.1446,11.362
0.1448,11.439
0.1450,11.473
0.1452,11.382
0.1454,11.978
0.1456,11.420
0.1458,10.201
0.1460,17.628
0.1462,11.613
0.1464,11.048
0.1466,11.831
0.1468,10.400
0.1470,12.638
0.1472,11.609
0.1474,9.929
0.1476,12.783
0.1478,10.505
0.1480,12.492
0.1482,11.912
0.1484,10.245
0.1486,13.120
0.1488,9.980
0.1490,18.091
0.1492,11.879
0.1494,11.362
0.1496,11.971
0.1498,11.008
0.1500,11.994
0.1502,11.965
0.1504,10.634
0.1506,11.117
0.1508,11.732
0.1510,11.590
0.1512,11.203
0.1514,11.875
0.1516,10.924
0.1518,12.318
0.1520,17.552
0.1522,9.913
0.1524,13.455
0.1526,9.958
0.1528,11.732
0.1530,11.436
0.1532,11.182
0.1534,13.038
0.1536,9.870
0.1538,11.479
0.1540,11.820
0.1542,11.887
0.1544,11.094
0.1546,11.554
0.1548,11.610
0.1550,11.554
0.1552,17.392
0.1554,10.215
0.1556,12.913
0.1558,11.362
0.1560,11.326
0.1562,11.909
0.1564,10.857
0.1566,12.540
0.1568,11.655
0.1570,10.225
0.1572,12.806
0.1574,10.196
0.1576,11.964
0.1578,12.614
0.1580,10.068
0.1582,19.284
0.1584,9.760
0.1586,11.441
0.1588,13.153
0.1590,10.137
0.1592,12.806
0.1594,10.642
0.1596,11.382
0.1598,11.531
0.1600,11.887
0.1602,11.294
0.1604,11.847
0.1606,11.045
0.1608,10.657
0.1610,13.101
0.1612,11.470
0.1614,15.689
0.1616,10.484
0.1618,11.167
0.1620,13.627
0.1622,9.493
0.1624,11.878
0.1626,11.272
0.1628,11.559
0.1630,12.256
0.1632,11.247
0.1634,11.103
0.1636,12.355
0.1638,11.075
0.1640,10.689
0.1642,12.145
0.1644,17.788
0.1646,11.436
0.1648,11.125
0.1650,10.221
0.1652,13.382
0.1654,11.766
0.1656,9.790
0.1658,12.887
0.1660,10.277
0.1662,12.820
0.1664,10.137
0.1666,11.700
0.1668,12.047
0.1670,10.831
0.1672,11.724
0.1674,18.103
0.1676,10.831
0.1678,11.764
0.1680,11.289
0.1682,11.677
0.1684,12.001
0.1686,11.258
0.1688,10.658
0.1690,11.914
0.1692,11.584
0.1694,11.757
0.1696,10.890
0.1698,10.713
0.1700,12.197
0.1702,12.259
0.1704,11.020
0.1706,19.078
0.1708,10.429
0.1710,12.887
0.1712,11.676
0.1714,9.175
0.1716,13.330
0.1718,10.261
0.1720,11.587
0.1722,11.960
0.1724,10.363
0.1726,12.555
0.1728,11.971
0.1730,9.558
0.1732,13.629
0.1734,10.112
0.1736,18.721
0.1738,11.853
0.1740,10.481
0.1742,12.662
0.1744,11.126
0.1746,10.968
0.1748,13.337
0.1750,10.307
0.1752,12.011
0.1754,11.326
0.1756,11.272
0.1758,12.466
0.1760,11.075
0.1762,10.880
0.1764,11.444
0.1766,16.820
0.1768,11.509
0.1770,12.204
0.1772,11.500
0.1774,11.621
0.1776,12.056
0.1778,10.105
0.1780,12.902
0.1782,12.079
0.1784,10.823
0.1786,12.315
0.1788,10.172
0.1790,12.902
0.1792,10.868
0.1794,10.695
0.1796,13.478
0.1798,16.597
0.1800,11.119
0.1802,11.617
0.1804,10.772
0.1806,12.832
0.1808,10.639
0.1810,10.570
0.1812,12.813
0.1814,11.210
0.1816,11.015
0.1818,11.174
0.1820,10.519
0.1822,12.872
0.1824,10.549
0.1826,10.215
0.1828,19.487
0.1830,9.884
0.1832,11.783
0.1834,10.602
0.1836,11.554
0.1838,11.636
0.1840,11.783
0.1842,10.488
0.1844,11.848
0.1846,12.160
0.1848,10.460
0.1850,11.606
0.1852,10.711
0.1854,12.278
0.1856,12.119
0.1858,10.112
0.1860,16.387
0.1862,10.778
0.1864,11.665
0.1866,12.510
0.1868,9.605
0.1870,13.012
0.1872,10.432
0.1874,11.420
0.1876,12.119
0.1878,11.119
0.1880,11.444
0.1882,11.407
0.1884,11.030
0.1886,11.237
0.1888,12.012
0.1890,17.375
0.1892,12.074
0.1894,11.479
0.1896,11.562
0.1898,10.750
0.1900,11.414
0.1902,11.414
0.1904,11.887
0.1906,9.905
0.1908,12.695
0.1910,11.510
0.1912,10.246
0.1914,12.018
