Time (s),Main Avg Power (mW)
0.0618,485.432
0.0620,489.256
0.0622,485.432
0.0624,483.718
0.0626,483.718
0.0628,487.278
0.0630,492.815
0.0632,492.682
0.0634,597.375
0.0636,771.315
0.0638,738.100
0.0640,680.805
0.0642,718.191
0.0644,692.156
0.0646,693.438
0.0648,642.495
0.0650,616.731
0.0652,609.015
0.0654,616.397
0.0656,651.373
0.0658,638.456
0.0660,660.599
0.0662,609.263
0.0664,600.031
0.0666,581.648
0.0668,485.630
0.0670,394.563
0.0672,398.574
0.0674,468.821
0.0676,488.991
0.0678,468.694
0.0680,453.931
0.0682,448.517
0.0684,454.055
0.0686,453.993
0.0688,455.900
0.0690,448.700
0.0692,454.178
0.0694,502.180
0.0696,489.057
0.0698,474.229
0.0700,474.229
0.0702,470.603
0.0704,472.512
0.0706,474.486
0.0708,472.704
0.0710,478.243
0.0712,491.169
0.0714,512.979
0.0716,503.890
0.0718,479.895
0.0720,479.765
0.0722,481.610
0.0724,479.765
0.0726,479.830
0.0728,474.293
0.0730,480.025
0.0732,487.410
0.0734,555.721
0.0736,618.494
0.0738,503.890
0.0740,522.560
0.0742,494.594
0.0744,492.682
0.0746,481.676
0.0748,479.830
0.0750,480.090
0.0752,474.551
0.0754,476.139
0.0756,502.180
0.0758,496.641
0.0760,483.586
0.0762,485.366
0.0764,488.991
0.0766,485.366
0.0768,483.586
0.0770,483.718
0.0772,474.486
0.0774,470.603
0.0776,517.020
0.0778,503.890
0.0780,485.630
0.0782,483.521
0.0784,549.959
0.0786,695.753
0.0788,706.826
0.0790,706.826
0.0792,719.648
0.0794,747.529
0.0796,751.424
0.0798,755.219
0.0800,732.763
0.0802,773.684
0.0804,730.719
0.0806,727.127
0.0808,607.169
0.0810,465.003
0.0812,461.375
0.0814,430.176
0.0816,446.914
0.0818,461.625
0.0820,441.134
0.0822,437.443
0.0824,439.408
0.0826,441.134
0.0828,437.324
0.0830,431.789
0.0832,428.214
0.0834,385.866
0.0836,369.150
0.0838,415.462
0.0840,437.621
0.0842,435.597
0.0844,435.715
0.0846,409.868
0.0848,420.774
0.0850,417.139
0.0852,417.026
0.0854,418.872
0.0856,411.602
0.0858,465.255
0.0860,443.220
0.0862,439.408
0.0864,441.254
0.0866,433.751
0.0868,435.774
0.0870,435.597
0.0872,435.538
0.0874,439.169
0.0876,441.015
0.0878,474.358
0.0880,452.209
0.0882,446.853
0.0884,446.853
0.0886,444.946
0.0888,444.946
0.0890,444.826
0.0892,441.074
0.0894,444.705
0.0896,437.324
0.0898,463.158
0.0900,457.746
0.0902,439.288
0.0904,435.774
0.0906,439.408
0.0908,446.672
0.0910,431.905
0.0912,433.869
0.0914,431.847
0.0916,428.330
0.0918,442.800
0.0920,448.396
0.0922,430.001
0.0924,485.564
0.0926,441.254
0.0928,439.467
0.0930,441.134
0.0932,435.597
0.0934,435.715
0.0936,428.330
0.0938,442.860
0.0940,459.467
0.0942,452.147
0.0944,442.980
0.0946,439.408
0.0948,439.527
0.0950,439.408
0.0952,435.597
0.0954,435.715
0.0956,435.715
0.0958,444.766
0.0960,472.512
0.0962,444.705
0.0964,444.705
0.0966,443.100
0.0968,443.100
0.0970,446.853
0.0972,433.751
0.0974,432.023
0.0976,450.546
0.0978,433.869
0.0980,459.592
0.0982,439.288
0.0984,439.169
0.0986,437.324
0.0988,439.229
0.0990,443.160
0.0992,441.254
0.0994,446.672
0.0996,430.176
0.0998,413.448
0.1000,389.612
0.1002,391.405
0.1004,446.611
0.1006,441.015
0.1008,430.001
0.1010,411.547
0.1012,417.253
0.1014,419.156
0.1016,422.906
0.1018,424.522
0.1020,433.986
0.1022,448.517
0.1024,444.826
0.1026,444.705
0.1028,446.551
0.1030,446.551
0.1032,441.074
0.1034,454.178
0.1036,459.779
0.1038,444.946
0.1040,457.746
0.1042,465.129
0.1044,452.209
0.1046,442.980
0.1048,444.766
0.1050,444.766
0.1052,442.860
0.1054,444.826
0.1056,446.793
0.1058,437.739
0.1060,443.100
0.1062,472.512
