Time (s),Main Avg Power (mW)
0.0688,1453.269
0.0690,1468.819
0.0692,1382.092
0.0694,1437.450
0.0696,1409.771
0.0698,1463.481
0.0700,1453.663
0.0702,1408.116
0.0704,1457.748
0.0706,1405.128
0.0708,1487.271
0.0710,1463.481
0.0712,1458.142
0.0714,1377.281
0.0716,1465.129
0.0718,1478.245
0.0720,1405.128
0.0722,1450.563
0.0724,1383.188
0.0726,1442.594
0.0728,1461.636
0.0730,1382.813
0.0732,1444.831
0.0734,1399.647
0.0736,1422.688
0.0738,1477.845
0.0740,1426.572
0.0742,1448.914
0.0744,1335.056
0.0746,1376.557
0.0748,1339.289
0.0750,1457.748
0.0752,1478.446
0.0754,1396.665
0.0756,1428.030
0.0758,1405.318
0.0760,1465.129
0.0762,1409.261
0.0764,1444.831
0.0766,1448.129
0.0768,1388.720
0.0770,1424.533
0.0772,1399.837
0.0774,1429.294
0.0776,1460.250
0.0778,1476.844
0.0780,1484.219
0.0782,1460.646
0.0784,1481.937
0.0786,1388.004
0.0788,1456.297
0.0790,1451.425
0.0792,1492.605
0.0794,1507.569
0.0796,1450.366
0.0798,1507.569
0.0800,1464.930
0.0802,1506.344
0.0804,1506.344
0.0806,1692.323
0.0808,1721.851
0.0810,1696.015
0.0812,1719.324
0.0814,1724.631
0.0816,1713.773
0.0818,1753.406
0.0820,1803.432
0.0822,1762.625
0.0824,1734.300
0.0826,1741.916
0.0828,1734.300
0.0830,1655.189
0.0832,1722.085
0.0834,1739.599
0.0836,1758.761
0.0838,1726.244
0.0840,1759.414
0.0842,1784.750
0.0844,1769.355
0.0846,1743.761
0.0848,1713.773
0.0850,1749.771
0.0852,1782.029
0.0854,1814.126
0.0856,1457.945
0.0858,1468.819
0.0860,1476.200
0.0862,1402.010
0.0864,1444.635
0.0866,1476.200
0.0868,1363.640
0.0870,1354.413
0.0872,1385.970
0.0874,1424.533
0.0876,1476.400
0.0878,1359.949
0.0880,1448.521
0.0882,1474.355
0.0884,1387.440
0.0886,1363.640
0.0888,1370.835
0.0890,1360.688
0.0892,1391.318
0.0894,1384.125
0.0896,1370.835
0.0898,1367.516
0.0900,1394.296
0.0902,1385.783
0.0904,1420.843
0.0906,1394.820
0.0908,1347.215
0.0910,1319.532
0.0912,1335.961
0.0914,1411.616
0.0916,1428.224
0.0918,1420.843
0.0920,1409.962
0.0922,1435.604
0.0924,1415.499
0.0926,1406.271
0.0928,1398.699
0.0930,1435.604
0.0932,1420.650
0.0934,1409.771
0.0936,1419.189
0.0938,1441.335
0.0940,1411.616
0.0942,1417.920
0.0944,1349.061
0.0946,982.985
0.0948,828.517
0.0950,828.517
0.0952,821.025
0.0954,806.374
0.0956,841.434
0.0958,836.011
0.0960,830.813
0.0962,845.583
0.0964,836.125
0.0966,823.093
0.0968,813.755
0.0970,865.422
0.0972,802.684
0.0974,800.622
0.0976,833.940
0.0978,828.405
0.0980,819.513
0.0982,823.093
0.0984,880.661
0.0986,884.114
0.0988,1208.639
0.0990,1007.643
0.0992,828.517
0.0994,822.982
0.0996,824.603
0.0998,828.517
0.1000,826.672
0.1002,845.354
0.1004,860.353
0.1006,834.166
0.1008,822.982
0.1010,828.742
0.1012,824.938
0.1014,821.136
0.1016,832.208
0.1018,830.250
0.1020,828.517
0.1022,826.672
0.1024,854.582
0.1026,832.433
0.1028,823.093
0.1030,828.517
0.1032,830.475
0.1034,828.068
0.1036,834.053
0.1038,835.898
0.1040,822.982
0.1042,822.870
0.1044,891.377
0.1046,836.011
0.1048,826.672
0.1050,832.433
0.1052,822.982
0.1054,861.849
0.1056,822.870
0.1058,822.982
0.1060,821.136
0.1062,821.136
0.1064,850.545
0.1066,836.011
0.1068,828.742
0.1070,821.359
0.1072,828.517
0.1074,744.875
0.1076,749.172
0.1078,808.329
0.1080,835.898
0.1082,830.362
0.1084,830.250
0.1086,876.494
0.1088,1201.258
0.1090,993.013
0.1092,832.433
0.1094,860.003
0.1096,837.857
0.1098,804.529
0.1100,808.219
0.1102,819.291
0.1104,830.362
0.1106,845.125
0.1108,808.219
0.1110,800.947
0.1112,813.865
0.1114,830.475
0.1116,825.050
0.1118,804.638
0.1120,832.095
0.1122,836.011
0.1124,837.744
0.1126,846.970
0.1128,826.560
0.1130,822.982
0.1132,821.247
0.1134,817.667
0.1136,804.747
0.1138,808.219
0.1140,821.136
0.1142,828.630
0.1144,822.982
0.1146,828.293
0.1148,856.196
0.1150,854.351
0.1152,835.898
0.1154,823.204
0.1156,830.813
0.1158,823.093
0.1160,827.120
