
V/DBox    (  531): 121087515 + Lcom/gindin/zmanim/android/ZmanimActivity; onPause
V/DBox    (  531): 121087515 - Lcom/gindin/zmanim/android/ZmanimActivity; onPause
V/DBox    (  531): 121087519 + Lcom/gindin/zmanim/android/prefs/EditLocationProviderPreferences; onCreate
V/DBox    (  531): 121087568 - Lcom/gindin/zmanim/android/prefs/EditLocationProviderPreferences; onCreate
V/DBox    (  531): 121088019 + Lcom/gindin/zmanim/android/ZmanimActivity; onStop
V/DBox    (  531): 121088020 + Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onStop
V/DBox    (  531): 121088020 + Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onStop
V/DBox    (  531): 121088021 - Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onStop
V/DBox    (  531): 121088022 - Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onStop
V/DBox    (  531): 121088022 - Lcom/gindin/zmanim/android/ZmanimActivity; onStop
V/DBox    (  531): 121089023 + Lcom/gindin/zmanim/android/ZmanimActivity; onRestart
V/DBox    (  531): 121089024 - Lcom/gindin/zmanim/android/ZmanimActivity; onRestart
V/DBox    (  531): 121089024 + Lcom/gindin/zmanim/android/ZmanimActivity; onStart
V/DBox    (  531): 121089024 + Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onStart
V/DBox    (  531): 121089025 + Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onStart
V/DBox    (  531): 121089025 - Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onStart
V/DBox    (  531): 121089025 - Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onStart
V/DBox    (  531): 121089026 - Lcom/gindin/zmanim/android/ZmanimActivity; onStart
V/DBox    (  531): 121089026 + Lcom/gindin/zmanim/android/ZmanimActivity; onResume
V/DBox    (  531): 121089027 - Lcom/gindin/zmanim/android/ZmanimActivity; onResume
V/DBox    (  531): 121090646 + Lcom/gindin/zmanim/android/ZmanimActivity; onOptionsItemSelected Preferences
V/DBox    (  531): 121090650 - Lcom/gindin/zmanim/android/ZmanimActivity; onOptionsItemSelected
V/DBox    (  531): 121090657 + Lcom/gindin/zmanim/android/ZmanimActivity; onPause
V/DBox    (  531): 121090657 - Lcom/gindin/zmanim/android/ZmanimActivity; onPause
V/DBox    (  531): 121090660 + Lcom/gindin/zmanim/android/prefs/PersonalPreferences; onCreate
V/DBox    (  531): 121090679 - Lcom/gindin/zmanim/android/prefs/PersonalPreferences; onCreate
V/DBox    (  531): 121091084 + Lcom/gindin/zmanim/android/ZmanimActivity; onStop
V/DBox    (  531): 121091085 + Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onStop
V/DBox    (  531): 121091085 + Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onStop
V/DBox    (  531): 121091086 - Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onStop
V/DBox    (  531): 121091086 - Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onStop
V/DBox    (  531): 121091086 - Lcom/gindin/zmanim/android/ZmanimActivity; onStop
V/DBox    (  531): 121091806 + Lcom/gindin/zmanim/android/ZmanimActivity; onRestart
V/DBox    (  531): 121091807 - Lcom/gindin/zmanim/android/ZmanimActivity; onRestart
V/DBox    (  531): 121091807 + Lcom/gindin/zmanim/android/ZmanimActivity; onStart
V/DBox    (  531): 121091807 + Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onStart
V/DBox    (  531): 121091807 + Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onStart
V/DBox    (  531): 121091808 - Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onStart
V/DBox    (  531): 121091808 - Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onStart
V/DBox    (  531): 121091808 - Lcom/gindin/zmanim/android/ZmanimActivity; onStart
V/DBox    (  531): 121091808 + Lcom/gindin/zmanim/android/ZmanimActivity; onResume
V/DBox    (  531): 121091809 - Lcom/gindin/zmanim/android/ZmanimActivity; onResume
V/DBox    (  531): 121123383 + Lcom/gindin/zmanim/android/ZmanimActivity; onPause
V/DBox    (  531): 121123383 - Lcom/gindin/zmanim/android/ZmanimActivity; onPause
V/DBox    (  531): 121123711 + Lcom/gindin/zmanim/android/ZmanimActivity; onStop
V/DBox    (  531): 121123712 + Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onStop
V/DBox    (  531): 121123712 + Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onStop
V/DBox    (  531): 121123713 - Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onStop
V/DBox    (  531): 121123713 - Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onStop
V/DBox    (  531): 121123714 - Lcom/gindin/zmanim/android/ZmanimActivity; onStop
V/DBox    (  531): 121124629 + Lcom/gindin/zmanim/android/ZmanimActivity; onDestroy
V/DBox    (  531): 121124629 + Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onDestroy
V/DBox    (  531): 121124630 + Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onDestroy
V/DBox    (  531): 121124630 - Lcom/gindin/zmanim/android/location/DynamicLocationProvider; onDestroy
V/DBox    (  531): 121124631 - Lcom/gindin/zmanim/android/location/ZmanimLocationManager; onDestroy
V/DBox    (  720): 121137816 + Lcom/gindin/zmanim/android/ZmanimActivity; onCreate
V/DBox    (  720): Landroid/location/LocationManager;->getBestProviderLjava/lang/String;=passive
V/DBox    (  720): Landroid/location/LocationManager;->requestLocationUpdatesV
V/DBox    (  720): Landroid/location/LocationManager;->getLastKnownLocationLandroid/location/Location;=null
V/DBox    (  720): 121137909 - Lcom/gindin/zmanim/android/ZmanimActivity; onCreate
V/DBox    (  720): 121137909 + Lcom/gindin/zmanim/android/ZmanimActivity; onStart
V/DBox    (  720): 121137909 - Lcom/gindin/zmanim/android/ZmanimActivity; onStart
V/DBox    (  720): 121137910 + Lcom/gindin/zmanim/android/ZmanimActivity; onResume
V/DBox    (  720): 121137910 - Lcom/gindin/zmanim/android/ZmanimActivity; onResume
V/DBox    (  720): Landroid/location/Geocoder;-><init>V
V/DBox    (  720): Landroid/location/LocationManager;->isProviderEnabledZ=false
V/DBox    (  720): Landroid/location/LocationManager;->isProviderEnabledZ=false
V/DBox    (  720): Landroid/location/LocationManager;->isProviderEnabledZ=false
V/DBox    (  720): Landroid/location/LocationManager;->isProviderEnabledZ=false
V/DBox    (  720): Landroid/location/Location;-><init>V
V/DBox    (  720): Landroid/location/Location;->setAccuracyV
V/DBox    (  720): Landroid/location/Location;->setAltitudeV
V/DBox    (  720): Landroid/location/Location;->setBearingV
V/DBox    (  720): Landroid/location/Location;->setLatitudeV
V/DBox    (  720): Landroid/location/Location;->setLongitudeV
V/DBox    (  720): Landroid/location/Location;->setSpeedV
V/DBox    (  720): Landroid/location/Location;->setTimeV
V/DBox    (  720): Landroid/location/LocationManager;->isProviderEnabledZ=false
V/DBox    (  720): Landroid/location/LocationManager;->isProviderEnabledZ=false
V/DBox    (  720): Landroid/location/Location;-><init>V
V/DBox    (  720): Landroid/location/Location;->setAccuracyV
V/DBox    (  720): Landroid/location/Location;->setAltitudeV
V/DBox    (  720): Landroid/location/Location;->setBearingV
V/DBox    (  720): Landroid/location/Location;->setLatitudeV
V/DBox    (  720): Landroid/location/Location;->setLongitudeV
V/DBox    (  720): Landroid/location/Location;->setSpeedV
V/DBox    (  720): Landroid/location/Location;->setTimeV
V/DBox    (  720): Landroid/location/Location;->getExtrasLandroid/os/Bundle;=null
V/DBox    (  720): Landroid/location/Location;->getLatitudeD=40.00646179
V/DBox    (  720): Landroid/location/Location;->getLongitudeD=-83.01608146
V/DBox    (  720): Landroid/location/Location;->getLatitudeD=40.00646179
V/DBox    (  720): Landroid/location/Location;->getLongitudeD=-83.01608146
V/DBox    (  720): Landroid/location/Location;->getProviderLjava/lang/String;=gps
V/DBox    (  720): Landroid/location/Location;->getTimeJ=1415602095000
V/DBox    (  720): Landroid/location/Location;->getLatitudeD=40.00646179
V/DBox    (  720): Landroid/location/Location;->getLongitudeD=-83.01608146
V/DBox    (  720): Landroid/location/Location;->hasAltitudeZ=true
V/DBox    (  720): Landroid/location/Location;->getAltitudeD=204.0
V/DBox    (  720): Landroid/location/Location;->hasAccuracyZ=true
V/DBox    (  720): Landroid/location/Location;->getAccuracyF=41.0
V/DBox    (  720): 121142977 + Lcom/gindin/zmanim/android/ZmanimActivity; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@427bb6d8
V/DBox    (  720): 121142979 - Lcom/gindin/zmanim/android/ZmanimActivity; onCreateOptionsMenu
V/DBox    (  720): 121148042 + Lcom/gindin/zmanim/android/ZmanimDisplay$4; onItemClick android.widget.ListView{42791968 VFED.VC. .F....ID 0,0-1072,1231 #102000a android:id/list}
