--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  579): 109752 + Lcom/facebook/katana/HelpfulHintsActivity; onCreate
V/DBox    (  579): 109801 - Lcom/facebook/katana/HelpfulHintsActivity; onCreate
V/DBox    (  579): 109803 + Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  579): 109803 - Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  579): 111190 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  579): 113259 + Lcom/facebook/katana/HelpfulHintsActivity; onClick android.widget.Button@43f282f0
V/DBox    (  579): 113333 - Lcom/facebook/katana/HelpfulHintsActivity; onClick
V/DBox    (  579): 113357 + Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  579): 113358 - Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  579): 113389 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  579): 113447 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  579): 113448 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  579): 113448 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  579): 113448 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  579): 113673 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  579): 113694 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  579): 113695 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  579): 113695 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 113724 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 114146 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 114184 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 114899 + Lcom/facebook/katana/platform/FacebookSyncAdapterService; onCreate
V/DBox    (  579): 114901 - Lcom/facebook/katana/platform/FacebookSyncAdapterService; onCreate
V/DBox    (  579): 116399 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  579): 116519 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 116521 > Lcom/facebook/katana/binding/AppSession; acquireWakeLock
V/DBox    (  579): 116523 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 116526 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  579): 116527 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  579): 116528 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 116532 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 116533 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 116534 > Lcom/facebook/katana/binding/AppSession; acquireWakeLock
V/DBox    (  579): 116537 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 116538 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 116539 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 116540 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 116568 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 116569 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 116600 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 117850 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  579): 120181 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  579): 120184 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  579): 120185 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  579): 120203 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  579): 120230 + Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  579): 120361 - Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  579): 120362 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  579): 120362 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  579): 120362 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  579): 120368 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  579): 120374 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  579): 120375 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  579): 120376 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 120383 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 120384 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 120391 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 120392 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 120404 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 120806 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  579): 120806 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  579): 120807 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  579): 120808 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  579): 123562 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@44002cc0
V/DBox    (  579): 123575 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  579): 123582 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  579): 123584 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  579): 123584 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  579): 123585 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  579): 123624 + Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  579): 123690 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  579): 123716 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  579): 123727 - Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  579): 123728 + Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  579): 123729 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  579): 123729 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  579): 123730 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  579): 123730 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  579): 123738 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  579): 123738 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  579): 123741 - Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  579): 123747 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 123782 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 123859 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 123865 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 124370 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 124371 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  579): 127313 + Lcom/facebook/katana/ProfileTabHostActivity; onPause
