--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  535): 294155 + Landroid/support/v7/app/ActionBarActivity; onStop
V/DBox    (  535): 294156 + Landroid/support/v4/app/FragmentActivity; onStop
V/DBox    (  535): 294159 - Landroid/support/v4/app/FragmentActivity; onStop
V/DBox    (  535): 294160 + Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
V/DBox    (  535): 294167 - Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
V/DBox    (  535): 294168 - Landroid/support/v7/app/ActionBarActivity; onStop
V/DBox    (  535): 297360 + Landroid/support/v4/app/FragmentActivity; onStart
V/DBox    (  535): 297360 - Landroid/support/v4/app/FragmentActivity; onStart
V/DBox    (  535): 297360 + Landroid/support/v4/app/FragmentActivity; onResume
V/DBox    (  535): 297361 - Landroid/support/v4/app/FragmentActivity; onResume
V/DBox    (  535): 299530 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@460bbba0
V/DBox    (  535): 299562 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  535): 305643 + Landroid/support/v7/internal/view/menu/ListMenuPresenter; onItemClick android.support.v7.internal.view.menu.ExpandedMenuView@460d0680
V/DBox    (  535): 305645 + Lcom/example/cwac_test/MainActivity; onOptionsItemSelected Settings
V/DBox    (  535): 305646 - Lcom/example/cwac_test/MainActivity; onOptionsItemSelected
V/DBox    (  535): 305650 - Landroid/support/v7/internal/view/menu/ListMenuPresenter; onItemClick
V/DBox    (  535): 307368 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@460b5ab8
V/DBox    (  535): 307372 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  535): 311789 + Landroid/support/v4/app/FragmentActivity; onSaveInstanceState
V/DBox    (  535): 311790 + Landroid/support/v7/internal/widget/ActionBarView; onSaveInstanceState
V/DBox    (  535): 311790 - Landroid/support/v7/internal/widget/ActionBarView; onSaveInstanceState
V/DBox    (  535): 311790 - Landroid/support/v4/app/FragmentActivity; onSaveInstanceState
V/DBox    (  535): 311791 + Landroid/support/v4/app/FragmentActivity; onPause
V/DBox    (  535): 311791 - Landroid/support/v4/app/FragmentActivity; onPause
V/DBox    (  535): 312255 + Landroid/support/v7/app/ActionBarActivity; onStop
V/DBox    (  535): 312303 + Landroid/support/v4/app/FragmentActivity; onStop
V/DBox    (  535): 312309 - Landroid/support/v4/app/FragmentActivity; onStop
V/DBox    (  535): 312323 + Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
V/DBox    (  535): 312339 - Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
V/DBox    (  535): 312343 - Landroid/support/v7/app/ActionBarActivity; onStop
