

268779 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@460b5ab8
268793 - Lcom/example/cwac_test/MainActivity$1; onClick
271163 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@4601af38
271210 - Lcom/example/cwac_test/MainActivity$1; onClick
273618 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@460b5ab8
273646 - Lcom/example/cwac_test/MainActivity$1; onClick
276797 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@460b5ab8
276805 - Lcom/example/cwac_test/MainActivity$1; onClick
281005 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@4601af38
281037 - Lcom/example/cwac_test/MainActivity$1; onClick
283626 + Landroid/support/v4/app/FragmentActivity; onSaveInstanceState
283628 + Landroid/support/v7/internal/widget/ActionBarView; onSaveInstanceState
283640 - Landroid/support/v7/internal/widget/ActionBarView; onSaveInstanceState
283643 - Landroid/support/v4/app/FragmentActivity; onSaveInstanceState
283645 + Landroid/support/v4/app/FragmentActivity; onPause
283648 - Landroid/support/v4/app/FragmentActivity; onPause
284123 + Landroid/support/v7/app/ActionBarActivity; onStop
284124 + Landroid/support/v4/app/FragmentActivity; onStop
284128 - Landroid/support/v4/app/FragmentActivity; onStop
284134 + Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
284136 - Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
284137 - Landroid/support/v7/app/ActionBarActivity; onStop
288052 + Landroid/support/v4/app/FragmentActivity; onStart
288053 - Landroid/support/v4/app/FragmentActivity; onStart
288053 + Landroid/support/v4/app/FragmentActivity; onResume
288054 - Landroid/support/v4/app/FragmentActivity; onResume
293685 + Landroid/support/v4/app/FragmentActivity; onSaveInstanceState
293686 + Landroid/support/v7/internal/widget/ActionBarView; onSaveInstanceState
293690 - Landroid/support/v7/internal/widget/ActionBarView; onSaveInstanceState
293703 - Landroid/support/v4/app/FragmentActivity; onSaveInstanceState
293704 + Landroid/support/v4/app/FragmentActivity; onPause
293705 - Landroid/support/v4/app/FragmentActivity; onPause
294155 + Landroid/support/v7/app/ActionBarActivity; onStop
294156 + Landroid/support/v4/app/FragmentActivity; onStop
294159 - Landroid/support/v4/app/FragmentActivity; onStop
294160 + Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
294167 - Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
294168 - Landroid/support/v7/app/ActionBarActivity; onStop
297360 + Landroid/support/v4/app/FragmentActivity; onStart
297360 - Landroid/support/v4/app/FragmentActivity; onStart
297360 + Landroid/support/v4/app/FragmentActivity; onResume
297361 - Landroid/support/v4/app/FragmentActivity; onResume
299530 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@460bbba0
299562 - Lcom/example/cwac_test/MainActivity$1; onClick
305643 + Landroid/support/v7/internal/view/menu/ListMenuPresenter; onItemClick android.support.v7.internal.view.menu.ExpandedMenuView@460d0680
305645 + Lcom/example/cwac_test/MainActivity; onOptionsItemSelected Settings
305646 - Lcom/example/cwac_test/MainActivity; onOptionsItemSelected
305650 - Landroid/support/v7/internal/view/menu/ListMenuPresenter; onItemClick
307368 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@460b5ab8
307372 - Lcom/example/cwac_test/MainActivity$1; onClick
311789 + Landroid/support/v4/app/FragmentActivity; onSaveInstanceState
311790 + Landroid/support/v7/internal/widget/ActionBarView; onSaveInstanceState
311790 - Landroid/support/v7/internal/widget/ActionBarView; onSaveInstanceState
311790 - Landroid/support/v4/app/FragmentActivity; onSaveInstanceState
311791 + Landroid/support/v4/app/FragmentActivity; onPause
311791 - Landroid/support/v4/app/FragmentActivity; onPause
312255 + Landroid/support/v7/app/ActionBarActivity; onStop
312303 + Landroid/support/v4/app/FragmentActivity; onStop
312309 - Landroid/support/v4/app/FragmentActivity; onStop
312323 + Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
312339 - Landroid/support/v7/app/ActionBarActivityDelegateBase; onStop
312343 - Landroid/support/v7/app/ActionBarActivity; onStop
