--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  535): 179748 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 179810 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 182739 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 182742 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 185754 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 185817 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 188749 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 188812 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 191752 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 191813 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 194739 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 194878 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 197750 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 197846 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 200737 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 200799 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 203773 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 203845 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 206743 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 206837 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 209752 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 209786 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 212746 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 212795 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 215743 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 215747 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 218740 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 218823 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 221757 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 221816 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 224742 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 224776 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 227748 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 227810 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 230741 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 230800 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 233755 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 233816 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 236740 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 236837 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 239755 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 239769 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 242753 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 242934 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 242972 + Lcom/example/cwac_test/MainActivity; onCreate
V/DBox    (  535): 242973 + Landroid/support/v7/app/ActionBarActivity; onCreate
V/DBox    (  535): 242991 + Landroid/support/v4/app/FragmentActivity; onCreate
V/DBox    (  535): 242992 - Landroid/support/v4/app/FragmentActivity; onCreate
V/DBox    (  535): 242999 - Landroid/support/v7/app/ActionBarActivity; onCreate
V/DBox    (  535): 243176 - Lcom/example/cwac_test/MainActivity; onCreate
V/DBox    (  535): 243177 + Landroid/support/v4/app/FragmentActivity; onStart
V/DBox    (  535): 243185 - Landroid/support/v4/app/FragmentActivity; onStart
V/DBox    (  535): 243186 + Landroid/support/v4/app/FragmentActivity; onResume
V/DBox    (  535): 243186 - Landroid/support/v4/app/FragmentActivity; onResume
V/DBox    (  535): 243270 + Lcom/example/cwac_test/MainActivity; onCreateOptionsMenu android.support.v7.internal.view.menu.MenuBuilder@46082110
V/DBox    (  535): 243290 - Lcom/example/cwac_test/MainActivity; onCreateOptionsMenu
V/DBox    (  535): 245770 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 245793 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 246884 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@460bbba0
V/DBox    (  535): 246920 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  535): 248764 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 248869 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 249253 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@4601af38
V/DBox    (  535): 249313 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  535): 251775 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 251803 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 252463 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@460b5ab8
V/DBox    (  535): 252479 - Lcom/example/cwac_test/MainActivity$1; onClick
V/DBox    (  535): 254770 + Lcom/example/cwac_test/AppService; doWakefulWork Intent { cmp=com.example.cwac_test/.AppService }
V/DBox    (  535): 254783 - Lcom/example/cwac_test/AppService; doWakefulWork
V/DBox    (  535): 256084 + Lcom/example/cwac_test/MainActivity$1; onClick android.widget.Button@4601af38
