--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  400): 131233 + Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  400): 131234 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  400): 131238 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  400): 131267 - Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  400): 131268 + Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  400): 131268 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  400): 131271 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  400): 131284 - Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  400): 173059 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@462509e8
V/DBox    (  400): 173110 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
V/DBox    (  400): 173111 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  400): 173112 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  400): 173112 + Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  400): 173113 - Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  400): 173121 + Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  400): 173121 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 173124 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  400): 173160 - Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  400): 173161 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  400): 173161 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 173163 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  400): 173236 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  400): 183754 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 183757 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 183770 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 183776 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 183818 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 183826 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 183842 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 183846 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 183867 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 183868 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 184038 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 184040 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 184105 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 184106 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 184134 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 184134 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 184155 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 184155 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 184169 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 184171 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 184584 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 184585 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 184609 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 184611 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 184641 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 184642 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 184656 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 184657 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 184680 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 184680 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 184706 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 184707 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 184736 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 184736 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 184765 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 184766 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 184807 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 184811 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 184831 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 184831 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 184857 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 184857 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 184875 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 184876 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 184903 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 184904 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 184930 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 184931 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 184958 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 184959 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 184987 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 184988 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 185015 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 185016 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 185047 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 185048 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 185088 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 185093 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 185113 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
V/DBox    (  400): 185113 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 185128 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b5680
