--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  400): 966538 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 966541 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 966565 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 966567 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 966596 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 966597 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 966621 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 966622 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 966651 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 966653 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 966679 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 966680 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 966707 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 966708 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 966734 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 966735 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 966762 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 966764 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 966803 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 966814 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 966822 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@4640e9c0
V/DBox    (  400): 966830 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 968102 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@464976c0
V/DBox    (  400): 968143 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
V/DBox    (  400): 969641 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder list
V/DBox    (  400): 969681 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  400): 969706 + Lcom/fsck/k9/activity/MessageList; onPause
