--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  400): 270706 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 270707 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 270736 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 270737 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 270766 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 270767 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 270810 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 270810 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 270838 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 270839 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 270861 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 270862 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 270881 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 270882 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 270904 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 270907 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 270910 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 270915 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 271259 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 271263 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 271271 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 271271 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 271338 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 271339 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 271364 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 271364 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 271386 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 271389 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 271419 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 271420 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 271440 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 271440 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 271457 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 271457 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 271489 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 271490 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 271513 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 271514 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 271541 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 271542 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 271572 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 271572 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 271599 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 271599 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 271627 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 271629 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 271655 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 271656 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 271682 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 271683 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 271713 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 271715 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 271740 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 271741 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 271782 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 271782 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 271822 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 271823 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 271824 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 271824 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 272392 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 272392 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 272427 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 272428 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 272439 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 272440 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 272468 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 272469 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 272497 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 272498 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 272541 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 272544 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 272579 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 272580 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 272593 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 272594 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 272625 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 272625 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 272658 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 272659 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 272676 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 272677 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 272713 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 272715 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 272750 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 272751 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 272761 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 272762 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 272816 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 272818 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 272842 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 272845 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 272858 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 272860 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 272879 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 272880 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 272916 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 272916 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 272943 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 272946 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 272987 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 272987 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 273001 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 273002 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 273035 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 273035 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 273051 + Lcom/fsck/k9/activity/MessageList; onCreateContextMenu com.android.internal.view.menu.ContextMenuBuilder@462cfd18
V/DBox    (  400): 273066 - Lcom/fsck/k9/activity/MessageList; onCreateContextMenu
V/DBox    (  400): 273126 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 273126 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 273256 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 273257 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 273497 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 273498 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 273614 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 273616 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 273625 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 273626 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  400): 273651 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@462b26c0
V/DBox    (  400): 273653 - Lcom/fsck/k9/activity/MessageList$1; onTouch
