up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 7993656	 0.8965517	 42874 89557 793233	 1 1.0	 0 0 0
 7994114	 0.8965517	 42891 89578 793278	 1 1.0	 0 0 0
 7994628	 0.22000718	 42900 89598 793332	 1 1.0	 0 0 0
 7995131	 0.22000718	 42914 89616 793382	 1 1.0	 0 0 0
 7995607	 0.8965517	 42933 89642 793428	 1 1.0	 0 0 0
 7996105	 0.22000718	 42956 89678 793481	 1 1.0	 0 0 0
 7996607	 0.8965517	 42979 89708 793531	 1 1.0	 0 0 0
 7997113	 0.22000718	 42995 89735 793582	 1 1.0	 0 0 0
 7997604	 0.22000718	 43003 89745 793632	 1 1.0	 0 0 0
 7998127	 0.22000718	 43009 89755 793682	 1 1.0	 0 0 0
 7998617	 0.22000718	 43016 89764 793732	 1 1.0	 0 0 0
 7999104	 0.22000718	 43022 89772 793781	 1 1.0	 0 0 0
 7999623	 0.22000718	 43025 89780 793831	 1 1.0	 0 0 0
 8000106	 0.22000718	 43037 89798 793884	 1 1.0	 0 0 0
 8000604	 0.22000718	 43053 89818 793932	 1 1.0	 0 0 0
 8001113	 0.22000718	 43062 89830 793982	 1 1.0	 0 0 0
 8001614	 0.22000718	 43068 89838 794031	 1 1.0	 0 0 0
 8002113	 0.22000718	 43092 89872 794082	 1 1.0	 0 0 0
 8002623	 0.8965517	 43099 89882 794132	 1 1.0	 0 0 0
 8003110	 0.8965517	 43128 89924 794177	 1 1.0	 0 0 0
 8003625	 0.8965517	 43149 89950 794230	 1 1.0	 0 0 0
 8004108	 0.8965517	 43183 89989 794277	 1 1.0	 0 0 0
 8004614	 0.22000718	 43208 90020 794332	 1 1.0	 0 0 0
 8005107	 0.8965517	 43244 90066 794378	 1 1.0	 0 0 0
 8005625	 0.22000718	 43285 90113 794432	 1 1.0	 0 0 0
 8006104	 0.86206895	 43318 90155 794477	 1 1.0	 0 0 0
 8006604	 0.8965517	 43339 90181 794527	 1 1.0	 0 0 0
 8007127	 0.8965517	 43373 90225 794580	 1 1.0	 0 0 0
 8007623	 0.8965517	 43390 90245 794629	 1 1.0	 0 0 0
 8008123	 0.22000718	 43405 90269 794681	 1 1.0	 0 0 0
 8008614	 0.8965517	 43412 90279 794730	 1 1.0	 0 0 0
 8009113	 0.22000718	 43433 90306 794781	 1 1.0	 0 0 0
 8009625	 0.22000718	 43441 90317 794830	 1 1.0	 0 0 0
 8010219	 0.8965517	 43458 90338 794887	 1 1.0	 0 0 0
 8010627	 0.22000718	 43467 90348 794931	 1 1.0	 0 0 0
 8011125	 0.22000718	 43486 90373 794981	 1 1.0	 0 0 0
 8011623	 0.22000718	 43492 90382 795030	 1 1.0	 0 0 0
 8012124	 0.22000718	 43499 90392 795081	 1 1.0	 0 0 0
 8012606	 0.8965517	 43508 90408 795126	 1 1.0	 0 0 0
 8013127	 0.22000718	 43527 90433 795181	 1 1.0	 0 0 0
 8013619	 0.8965517	 43540 90449 795232	 1 1.0	 0 0 0
 8014101	 0.7241379	 43566 90483 795277	 1 1.0	 0 0 0
 8014616	 0.8965517	 43576 90503 795328	 1 1.0	 0 0 0
 8015130	 0.8965517	 43616 90555 795394	 1 1.0	 0 0 0
 8015644	 0.8965517	 43633 90580 795430	 1 1.0	 0 0 0
 8016115	 0.22000718	 43644 90600 795481	 1 1.0	 0 0 0
 8016633	 0.22000718	 43649 90611 795532	 1 1.0	 0 0 0
 8017117	 0.22000718	 43662 90630 795559	 1 1.0	 0 0 0
 8017623	 0.22000718	 43671 90641 795609	 1 1.0	 0 0 0
 8018114	 0.8965517	 43679 90653 795659	 1 1.0	 0 0 0
 8018608	 0.8965517	 43705 90690 795709	 1 1.0	 0 0 0
 8019124	 0.22000718	 43716 90705 795759	 1 1.0	 0 0 0
 8019602	 0.8965517	 43728 90723 795806	 1 1.0	 0 0 0
 8020101	 0.8965517	 43780 90786 795871	 1 1.0	 0 0 0
 8020605	 0.22000718	 43788 90797 795910	 1 1.0	 0 0 0
 8021102	 0.82758623	 43819 90836 795956	 1 1.0	 0 0 0
 8021623	 0.8965517	 43842 90866 796008	 1 1.0	 0 0 0
 8022107	 0.8965517	 43878 90913 796056	 1 1.0	 0 0 0
 8022603	 0.8965517	 43911 90962 796106	 1 1.0	 0 0 0
 8023107	 0.8965517	 43941 91012 796156	 1 1.0	 0 0 0
 8023624	 0.3448276	 43962 91057 796208	 1 1.0	 0 0 0
 8024121	 0.3448276	 43984 91094 796259	 1 1.0	 0 0 0
 8024634	 0.8965517	 44014 91135 796308	 1 1.0	 0 0 0
 8025103	 0.8965517	 44056 91186 796369	 1 1.0	 0 0 0
 8025604	 0.8965517	 44074 91213 796408	 1 1.0	 0 0 0
 8026113	 0.22000718	 44097 91247 796459	 1 1.0	 0 0 0
 8026652	 0.22000718	 44120 91282 796511	 1 1.0	 0 0 0
 8027129	 0.8965517	 44142 91316 796559	 1 1.0	 0 0 0
 8027626	 0.8965517	 44156 91345 796607	 1 1.0	 0 0 0
 8028107	 0.8965517	 44198 91404 796670	 1 1.0	 0 0 0
 8028611	 0.8965517	 44226 91439 796706	 1 1.0	 0 0 0
 8029106	 0.8965517	 44259 91486 796756	 1 1.0	 0 0 0
 8029602	 0.79310346	 44282 91529 796806	 1 1.0	 0 0 0
 8030112	 0.8965517	 44320 91586 796875	 1 1.0	 0 0 0
 8030611	 0.8965517	 44340 91616 796907	 1 1.0	 0 0 0
 8031105	 0.8965517	 44365 91655 796955	 1 1.0	 0 0 0
 8031605	 0.8965517	 44396 91699 797006	 1 1.0	 0 0 0
 8032103	 0.3448276	 44416 91739 797057	 1 1.0	 0 0 0
 8032609	 0.82758623	 44447 91783 797105	 1 1.0	 0 0 0
 8033104	 0.3448276	 44467 91826 797158	 1 1.0	 0 0 0
 8033610	 0.51724136	 44494 91867 797206	 1 1.0	 0 0 0
 8034111	 0.5862069	 44513 91905 797258	 1 1.0	 0 0 0
 8034626	 0.8965517	 44536 91942 797307	 1 1.0	 0 0 0
 8035103	 0.8965517	 44570 91987 797370	 1 1.0	 0 0 0
 8035619	 0.22000718	 44586 92015 797409	 1 1.0	 0 0 0
 8036113	 0.8965517	 44609 92047 797457	 1 1.0	 0 0 0
 8036623	 0.22000718	 44635 92082 797509	 1 1.0	 0 0 0
 8037114	 0.8965517	 44660 92116 797559	 1 1.0	 0 0 0
 8037601	 0.8965517	 44681 92156 797604	 1 1.0	 0 0 0
 8038105	 0.8965517	 44706 92200 797658	 1 1.0	 0 0 0
 8038608	 0.8965517	 44727 92236 797709	 1 1.0	 0 0 0
 8039123	 0.8965517	 44748 92268 797757	 1 1.0	 0 0 0
 8039616	 0.22000718	 44770 92299 797808	 1 1.0	 0 0 0
 8040108	 0.8965517	 44798 92335 797866	 1 1.0	 0 0 0
 8040623	 0.8965517	 44813 92360 797905	 1 1.0	 0 0 0
 8041110	 0.8965517	 44832 92404 797954	 1 1.0	 0 0 0
 8041613	 0.8965517	 44861 92444 798008	 1 1.0	 0 0 0
 8042107	 0.22000718	 44878 92477 798058	 1 1.0	 0 0 0
 8042606	 0.8965517	 44902 92509 798105	 1 1.0	 0 0 0
 8043109	 0.8965517	 44926 92540 798159	 1 1.0	 0 0 0
 8043615	 0.22000718	 44950 92574 798210	 1 1.0	 0 0 0
 8044124	 0.3448276	 44962 92599 798257	 1 1.0	 0 0 0
 8044613	 0.22000718	 44966 92607 798306	 1 1.0	 0 0 0
 8045218	 0.8965517	 44980 92623 798364	 1 1.0	 0 0 0
 8045624	 0.22000718	 44987 92633 798408	 1 1.0	 0 0 0
 8046104	 0.8965517	 45019 92671 798454	 1 1.0	 0 0 0
 8046624	 0.22000718	 45052 92708 798508	 1 1.0	 0 0 0
 8047104	 0.22000718	 45059 92717 798558	 1 1.0	 0 0 0
 8047613	 0.22000718	 45066 92728 798608	 1 1.0	 0 0 0
 8048106	 0.8965517	 45080 92745 798657	 1 1.0	 0 0 0
 8048619	 0.22000718	 45109 92786 798709	 1 1.0	 0 0 0
 8049115	 0.22000718	 45114 92796 798756	 1 1.0	 0 0 0
 8049612	 0.51724136	 45128 92815 798805	 1 1.0	 0 0 0
 8050112	 0.8965517	 45167 92866 798856	 1 1.0	 0 0 0
 8050622	 0.22000718	 45185 92889 798907	 1 1.0	 0 0 0
 8051116	 0.22000718	 45195 92903 798959	 1 1.0	 0 0 0
 8051623	 0.22000718	 45201 92919 799008	 1 1.0	 0 0 0
 8052127	 0.22000718	 45219 92944 799058	 1 1.0	 0 0 0
 8052602	 0.8965517	 45249 92980 799104	 1 1.0	 0 0 0
 8053110	 0.7241379	 45272 93011 799154	 1 1.0	 0 0 0
 8053627	 0.8965517	 45294 93045 799206	 1 1.0	 0 0 0
 8054125	 0.22000718	 45303 93058 799258	 1 1.0	 0 0 0
 8054606	 0.8965517	 45318 93086 799305	 1 1.0	 0 0 0
 8055110	 0.8965517	 45348 93126 799355	 1 1.0	 0 0 0
 8055605	 0.8965517	 45371 93162 799404	 1 1.0	 0 0 0
 8056119	 0.22000718	 45396 93202 799458	 1 1.0	 0 0 0
 8056604	 0.22000718	 45403 93216 799507	 1 1.0	 0 0 0
 8057125	 0.22000718	 45420 93238 799556	 1 1.0	 0 0 0
 8057626	 0.22000718	 45424 93248 799607	 1 1.0	 0 0 0
 8058115	 0.22000718	 45445 93280 799657	 1 1.0	 0 0 0
 8058613	 0.22000718	 45451 93291 799707	 1 1.0	 0 0 0
 8059121	 0.22000718	 45456 93301 799757	 1 1.0	 0 0 0
 8059620	 0.22000718	 45464 93312 799807	 1 1.0	 0 0 0
 8060123	 0.22000718	 45479 93329 799857	 1 1.0	 0 0 0
 8060604	 0.22000718	 45483 93341 799908	 1 1.0	 0 0 0
 8061125	 0.22000718	 45493 93360 799957	 1 1.0	 0 0 0
 8061624	 0.22000718	 45502 93371 800007	 1 1.0	 0 0 0
 8062102	 0.8965517	 45517 93392 800054	 1 1.0	 0 0 0
 8062604	 0.22000718	 45530 93415 800109	 1 1.0	 0 0 0
 8063124	 0.22000718	 45550 93447 800160	 1 1.0	 0 0 0
 8063609	 0.5862069	 45583 93486 800204	 1 1.0	 0 0 0
 8064113	 0.22000718	 45588 93496 800258	 1 1.0	 0 0 0
 8064607	 0.3448276	 45606 93524 800307	 1 1.0	 0 0 0
 8065105	 0.22000718	 45622 93545 800358	 1 1.0	 0 0 0
 8065610	 0.79310346	 45637 93565 800405	 1 1.0	 0 0 0
 8066102	 0.8965517	 45679 93615 800455	 1 1.0	 0 0 0
 8066604	 0.22000718	 45688 93629 800508	 1 1.0	 0 0 0
 8067136	 0.8965517	 45708 93662 800557	 1 1.0	 0 0 0
 8067615	 0.22000718	 45715 93673 800607	 1 1.0	 0 0 0
 8068127	 0.8965517	 45721 93681 800656	 1 1.0	 0 0 0
 8068613	 0.22000718	 45739 93700 800714	 1 1.0	 0 0 0
 8069104	 0.22000718	 45743 93709 800757	 1 1.0	 0 0 0
 8069605	 0.22000718	 45747 93718 800808	 1 1.0	 0 0 0
 8070124	 0.22000718	 45763 93736 800858	 1 1.0	 0 0 0
 8070614	 0.22000718	 45769 93745 800907	 1 1.0	 0 0 0
 8071117	 0.22000718	 45775 93756 800959	 1 1.0	 0 0 0
 8071614	 0.22000718	 45780 93763 801006	 1 1.0	 0 0 0
 8072104	 0.22000718	 45786 93773 801058	 1 1.0	 0 0 0
 8072627	 0.22000718	 45797 93786 801108	 1 1.0	 0 0 0
 8073123	 0.22000718	 45801 93795 801158	 1 1.0	 0 0 0
 8073613	 0.22000718	 45810 93813 801208	 1 1.0	 0 0 0
