up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 743930	 0.6896552	 7661 16535 74296	 1 1.0	 1 5412 1924
 744360	 0.6896552	 7678 16560 74340	 1 1.0	 1 5412 1924
 744871	 0.22000718	 7696 16584 74391	 1 1.0	 1 5412 1924
 745378	 0.6896552	 7705 16604 74446	 1 1.0	 1 5412 1924
 745877	 0.6896552	 7729 16643 74493	 1 1.0	 1 5412 1924
 746357	 0.22000718	 7741 16661 74542	 1 1.0	 1 5412 1924
 746870	 0.22000718	 7769 16694 74595	 1 1.0	 1 5412 1924
 747376	 0.22000718	 7777 16707 74643	 1 1.0	 1 5412 1924
 747868	 0.22000718	 7786 16721 74694	 1 1.0	 1 5412 1924
 748357	 0.22000718	 7793 16731 74742	 1 1.0	 1 5412 1924
 748868	 0.22000718	 7803 16747 74793	 1 1.0	 1 5412 1924
 749357	 0.22000718	 7811 16758 74842	 1 1.0	 1 5412 1924
 749871	 0.6896552	 7827 16777 74901	 1 1.0	 1 5412 1924
 750357	 0.6896552	 7838 16791 74944	 1 1.0	 1 5412 1924
 750858	 0.6896552	 7851 16834 74989	 1 0.4980392156862745	 1 5412 1924
 751357	 0.6896552	 7855 16884 75039	 1 0.4980392156862745	 1 5412 1924
 751863	 0.6896552	 7858 16934 75089	 1 0.4980392156862745	 1 5412 1924
 752355	 0.6896552	 7862 16984 75139	 1 0.4980392156862745	 1 5412 1924
 752858	 0.6896552	 7865 17033 75188	 1 0.4980392156862745	 1 5412 1924
 753364	 0.6896552	 7874 17083 75238	 1 0.4980392156862745	 1 5412 1924
 753862	 0.6896552	 7877 17134 75289	 1 0.4980392156862745	 1 5412 1924
 754366	 0.6896552	 7881 17183 75338	 1 0.4980392156862745	 1 5412 1924
 754858	 0.6896552	 7885 17233 75388	 1 0.4980392156862745	 1 5412 1924
 755370	 0.6896552	 7888 17284 75439	 1 0.4980392156862745	 1 5412 1924
 755864	 0.6896552	 7894 17334 75489	 1 0.4980392156862745	 1 5412 1924
 756355	 0.6896552	 7898 17383 75538	 1 0.4980392156862745	 1 5412 1924
 756861	 0.6896552	 7907 17434 75589	 1 0.4980392156862745	 1 5412 1924
 757364	 0.6896552	 7911 17483 75638	 1 0.4980392156862745	 1 5412 1924
 757864	 0.6896552	 7913 17533 75688	 1 0.4980392156862745	 1 5412 1924
 758365	 0.6896552	 7918 17584 75739	 1 0.4980392156862745	 1 5412 1924
 758855	 0.6896552	 7923 17634 75789	 1 0.4980392156862745	 1 5412 1924
 759360	 0.6896552	 7926 17684 75839	 1 0.4980392156862745	 1 5412 1924
 759857	 0.6896552	 7929 17733 75888	 1 0.4980392156862745	 1 5412 1924
 760419	 0.6896552	 7939 17789 75944	 1 0.4980392156862745	 1 5412 1924
 760855	 0.6896552	 7944 17833 75988	 1 0.4980392156862745	 1 5412 1924
 761362	 0.6896552	 7946 17883 76038	 1 0.4980392156862745	 1 5412 1924
 761860	 0.6896552	 7949 17934 76089	 1 0.4980392156862745	 1 5412 1924
 762364	 0.6896552	 7954 17983 76138	 1 0.4980392156862745	 1 5412 1924
 762865	 0.6896552	 7962 18034 76189	 1 0.4980392156862745	 1 5412 1924
 763362	 0.6896552	 7967 18083 76238	 1 0.4980392156862745	 1 5412 1924
 763935	 0.6896552	 7974 18140 76295	 1 0.4980392156862745	 1 5412 1924
 764357	 0.6896552	 7978 18184 76339	 1 0.4980392156862745	 1 5412 1924
 764862	 0.6896552	 7982 18233 76388	 1 0.4980392156862745	 1 5412 1924
 765366	 0.6896552	 7986 18285 76440	 1 0.4980392156862745	 1 5412 1924
 765855	 0.6896552	 7989 18334 76489	 1 0.4980392156862745	 1 5412 1924
 766358	 0.6896552	 7992 18384 76539	 1 0.4980392156862745	 1 5412 1924
 766861	 0.6896552	 7995 18433 76588	 1 0.4980392156862745	 1 5412 1924
 767422	 0.6896552	 8005 18489 76644	 1 0.4980392156862745	 1 5412 1924
 767863	 0.6896552	 8008 18534 76689	 1 0.4980392156862745	 1 5412 1924
 768361	 0.6896552	 8011 18583 76738	 1 0.4980392156862745	 1 5412 1924
 768865	 0.6896552	 8017 18634 76789	 1 0.4980392156862745	 1 5412 1924
 769364	 0.6896552	 8021 18684 76839	 1 0.4980392156862745	 1 5412 1924
 769855	 0.6896552	 8024 18733 76888	 1 0.4980392156862745	 1 5412 1924
 770358	 0.6896552	 8028 18784 76939	 1 0.4980392156862745	 1 5412 1924
 770855	 0.6896552	 8035 18839 76994	 1 0.4980392156862745	 1 5412 1924
 771363	 0.6896552	 8039 18884 77039	 1 0.4980392156862745	 1 5412 1924
 771856	 0.6896552	 8043 18933 77088	 1 0.4980392156862745	 1 5412 1924
