* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  360): 1127484 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Account settings
V/DBox    (  360): 1127570 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 1127606 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 1127607 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 1127608 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 1127609 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 1127625 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
V/DBox    (  360): 1127625 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  360): 1127636 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  360): 1127865 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
V/DBox    (  360): 1127866 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
V/DBox    (  360): 1127870 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
V/DBox    (  360): 1129412 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  360): 1129413 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  360): 1129434 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 1129434 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 1129436 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): 1129622 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 1129828 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  360): 1129839 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): Ljava/net/Socket;->closeV
V/DBox    (  360): 1133171 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
V/DBox    (  360): 1133261 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 1133262 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 1133271 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  360): 1133272 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 1133272 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  360): 1133292 + Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  360): 1133293 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 1133302 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  360): 1133531 - Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  360): 1133532 + Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  360): 1133535 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 1133536 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 1133537 - Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  360): 1135374 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  360): 1135374 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  360): 1135395 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  360): 1135396 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  360): 1135463 + Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  360): 1135464 - Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  360): 1135494 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): 1135494 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 1135496 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  360): 1135535 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  360): Ljava/net/Socket;->connectV
V/DBox    (  360): 1137636 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
V/DBox    (  360): 1137637 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 1139262 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Subject
V/DBox    (  360): 1139266 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 1143164 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Batch Ops
V/DBox    (  360): 1143165 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  360): 1144295 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Select all
V/DBox    (  360): 1144296 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
