--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    ( 1010): 17683861 + Lcom/facebook/katana/MyTabWidget$TabClickListener; onClick android.widget.LinearLayout@461cf280
V/DBox    ( 1010): 17683868 + Lcom/facebook/katana/UserInfoActivity; onPause
V/DBox    ( 1010): 17683869 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17683871 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17683874 - Lcom/facebook/katana/UserInfoActivity; onPause
V/DBox    ( 1010): 17683878 + Lcom/facebook/katana/AlbumsActivity; onCreate
V/DBox    ( 1010): 17683934 - Lcom/facebook/katana/AlbumsActivity; onCreate
V/DBox    ( 1010): 17683934 + Lcom/facebook/katana/AlbumsActivity; onResume
V/DBox    ( 1010): 17683935 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17683935 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17683937 - Lcom/facebook/katana/AlbumsActivity; onResume
V/DBox    ( 1010): 17683940 - Lcom/facebook/katana/MyTabWidget$TabClickListener; onClick
V/DBox    ( 1010): 17683973 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17683986 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17685232 + Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    ( 1010): 17685232 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    ( 1010): 17685233 + Lcom/facebook/katana/AlbumsActivity; onPause
V/DBox    ( 1010): 17685233 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17685234 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17685234 - Lcom/facebook/katana/AlbumsActivity; onPause
V/DBox    ( 1010): 17685234 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    ( 1010): 17685235 - Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    ( 1010): 17685247 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    ( 1010): 17685247 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17685252 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17685264 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    ( 1010): 17685288 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17685298 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17685300 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17685323 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    ( 1010): 17685575 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    ( 1010): 17685575 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    ( 1010): 17685579 + Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    ( 1010): 17685579 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    ( 1010): 17685580 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    ( 1010): 17685581 - Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    ( 1010): 17687289 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@46170ae8
V/DBox    ( 1010): 17687293 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    ( 1010): 17687296 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    ( 1010): 17687296 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17687297 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    ( 1010): 17687297 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    ( 1010): 17687309 + Lcom/facebook/katana/UsersTabHostActivity; onCreate
V/DBox    ( 1010): 17687343 + Lcom/facebook/katana/FriendsActivity; onCreate
V/DBox    ( 1010): 17687360 - Lcom/facebook/katana/FriendsActivity; onCreate
V/DBox    ( 1010): 17687368 - Lcom/facebook/katana/UsersTabHostActivity; onCreate
V/DBox    ( 1010): 17687368 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    ( 1010): 17687369 + Lcom/facebook/katana/FriendsActivity; onResume
V/DBox    ( 1010): 17687374 - Lcom/facebook/katana/FriendsActivity; onResume
V/DBox    ( 1010): 17687375 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    ( 1010): 17693400 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    ( 1010): 17693402 + Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    ( 1010): 17693403 - Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    ( 1010): 17693404 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    ( 1010): 17693418 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    ( 1010): 17693419 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17693420 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    ( 1010): 17693437 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    ( 1010): 17693454 + Lcom/facebook/katana/service/FacebookService; onStart
