--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  584): 132148 - Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  584): 134191 + Lcom/facebook/katana/HelpfulHintsActivity; onClick android.widget.Button@43fc1820
V/DBox    (  584): 134264 - Lcom/facebook/katana/HelpfulHintsActivity; onClick
V/DBox    (  584): 134275 + Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  584): 134276 - Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  584): 134292 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  584): 134536 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  584): 134537 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  584): 134537 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  584): 134537 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  584): 134742 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  584): 134840 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 134932 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 135610 + Lcom/facebook/katana/platform/FacebookSyncAdapterService; onCreate
V/DBox    (  584): 135611 - Lcom/facebook/katana/platform/FacebookSyncAdapterService; onCreate
V/DBox    (  584): 135794 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 135814 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 136807 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  584): 136948 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  584): 136949 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  584): 136950 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 136956 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 136956 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 136957 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 136958 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 136959 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 137222 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 137223 > Lcom/facebook/katana/binding/AppSession; acquireWakeLock
V/DBox    (  584): 137244 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 137245 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 137272 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 138956 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  584): 139171 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  584): 139171 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  584): 139173 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 139175 > Lcom/facebook/katana/binding/AppSession; acquireWakeLock
V/DBox    (  584): 139178 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 139179 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 139188 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 139432 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  584): 161802 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  584): 161803 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  584): 161805 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  584): 161823 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  584): 161850 + Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  584): 161954 - Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  584): 161954 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  584): 161955 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  584): 161955 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  584): 161964 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  584): 161967 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  584): 161968 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  584): 161968 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 161975 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 161976 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 161985 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 161986 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 161999 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 162392 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  584): 162393 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  584): 162393 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  584): 162394 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  584): 164277 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@44038318
V/DBox    (  584): 164285 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  584): 164292 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  584): 164293 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  584): 164297 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  584): 164297 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  584): 164313 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  584): 164353 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  584): 164354 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  584): 164354 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  584): 164355 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  584): 164359 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  584): 167204 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  584): 167205 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  584): 167206 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  584): 167242 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  584): 167260 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  584): 167260 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  584): 167261 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  584): 167273 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  584): 167290 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 167310 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 167311 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 167333 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  584): 167582 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  584): 167584 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  584): 167585 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  584): 167585 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  584): 168630 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43ecdea0
V/DBox    (  584): 168649 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  584): 168655 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  584): 168658 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  584): 168659 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  584): 168662 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  584): 168679 + Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  584): 168725 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  584): 168793 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  584): 168811 - Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  584): 168812 + Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  584): 168812 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  584): 168813 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  584): 168813 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  584): 168814 - Lcom/facebook/katana/FacebookListActivity; onResume
