--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  568): 110771 + Lcom/facebook/katana/provider/LoggingProvider; onCreate
V/DBox    (  568): 110805 - Lcom/facebook/katana/provider/LoggingProvider; onCreate
V/DBox    (  568): 110810 + Lcom/facebook/katana/provider/NotificationsProvider; onCreate
V/DBox    (  568): 110811 - Lcom/facebook/katana/provider/NotificationsProvider; onCreate
V/DBox    (  568): 110815 + Lcom/facebook/katana/provider/KeyValueProvider; onCreate
V/DBox    (  568): 110815 - Lcom/facebook/katana/provider/KeyValueProvider; onCreate
V/DBox    (  568): 110819 + Lcom/facebook/katana/provider/UserValuesProvider; onCreate
V/DBox    (  568): 110820 - Lcom/facebook/katana/provider/UserValuesProvider; onCreate
V/DBox    (  568): 110827 + Lcom/facebook/katana/provider/FriendsProvider; onCreate
V/DBox    (  568): 110828 - Lcom/facebook/katana/provider/FriendsProvider; onCreate
V/DBox    (  568): 110837 + Lcom/facebook/katana/provider/MailboxProvider; onCreate
V/DBox    (  568): 110837 - Lcom/facebook/katana/provider/MailboxProvider; onCreate
V/DBox    (  568): 110839 + Lcom/facebook/katana/provider/UserStatusesProvider; onCreate
V/DBox    (  568): 110839 - Lcom/facebook/katana/provider/UserStatusesProvider; onCreate
V/DBox    (  568): 110846 + Lcom/facebook/katana/provider/PhotosProvider; onCreate
V/DBox    (  568): 110846 - Lcom/facebook/katana/provider/PhotosProvider; onCreate
V/DBox    (  568): 110853 + Lcom/facebook/katana/provider/EventsProvider; onCreate
V/DBox    (  568): 110853 - Lcom/facebook/katana/provider/EventsProvider; onCreate
V/DBox    (  568): 110872 + Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  568): 111352 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  568): 111365 - Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  568): 111373 + Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  568): 111501 - Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  568): 111501 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  568): 111502 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  568): 111520 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  568): 111532 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  568): 111543 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  568): 111548 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  568): 111549 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  568): 111570 - Lcom/facebook/katana/service/FacebookService; onStart
