* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  771): 5706027 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5706381 + Lcom/facebook/katana/EventsActivity; onPause
V/DBox    (  771): 5706382 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  771): 5706382 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  771): 5706383 - Lcom/facebook/katana/EventsActivity; onPause
V/DBox    (  771): 5706410 + Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  771): 5706456 - Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  771): 5706456 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  771): 5706456 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  771): 5706457 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  771): 5706460 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  771): 5706463 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5706468 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5706976 + Lcom/facebook/katana/HomeActivity$ReelListener; onItemSelected android.widget.Gallery@460ba630
V/DBox    (  771): 5706978 - Lcom/facebook/katana/HomeActivity$ReelListener; onItemSelected
V/DBox    (  771): 5707367 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@461f0d20
V/DBox    (  771): 5707372 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  771): 5707376 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  771): 5707377 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  771): 5707377 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  771): 5707378 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  771): 5707390 + Lcom/facebook/katana/EventsActivity; onCreate
V/DBox    (  771): 5707414 - Lcom/facebook/katana/EventsActivity; onCreate
V/DBox    (  771): 5707415 + Lcom/facebook/katana/EventsActivity; onResume
V/DBox    (  771): 5707415 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  771): 5707416 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  771): 5707419 - Lcom/facebook/katana/EventsActivity; onResume
V/DBox    (  771): 5707423 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5707438 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5707514 + Lcom/facebook/katana/EventsActivity; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@46297960
V/DBox    (  771): 5707519 - Lcom/facebook/katana/EventsActivity; onCreateOptionsMenu
V/DBox    (  771): 5707930 + Lcom/facebook/katana/EventsActivity; onPause
V/DBox    (  771): 5707930 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  771): 5707931 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  771): 5707932 - Lcom/facebook/katana/EventsActivity; onPause
V/DBox    (  771): 5707944 + Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  771): 5708141 - Lcom/facebook/katana/HomeActivity; onCreate
V/DBox    (  771): 5708141 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  771): 5708142 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  771): 5708142 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  771): 5708148 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  771): 5708151 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5708157 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  771): 5708158 + Lcom/facebook/katana/service/FacebookService; onStart
