* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): 77324 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Compose
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): 77627 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): 77923 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  373): 77924 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  373): 77930 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  373): 77933 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): 77999 + Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  373): 77999 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  373): 78003 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  373): 78260 - Lcom/fsck/k9/activity/MessageCompose; onCreate
V/DBox    (  373): 78261 + Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  373): 78261 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  373): 78267 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  373): 78268 - Lcom/fsck/k9/activity/MessageCompose; onResume
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): 80580 + Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  373): 80580 - Lcom/fsck/k9/activity/MessageCompose; onPause
V/DBox    (  373): 80620 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  373): 80620 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  373): 80630 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  373): 80659 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  373): 83355 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Sort by...
V/DBox    (  373): 83356 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  373): 84884 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Date
V/DBox    (  373): 84892 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  373): 87317 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Batch Ops
V/DBox    (  373): 87319 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): 90996 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Folder list
V/DBox    (  373): 91034 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  373): 91049 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  373): 91049 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  373): 91068 + Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  373): 91068 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  373): 91073 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  373): 91138 - Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  373): 91140 + Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  373): 91140 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  373): 91148 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  373): 91168 - Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  373): 92268 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@44014c68
V/DBox    (  373): 92337 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
V/DBox    (  373): 92340 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  373): 92341 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  373): 92341 + Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  373): 92341 - Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  373): 92352 + Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  373): 92353 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  373): 92361 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  373): 92417 - Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  373): 92420 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  373): 92423 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  373): 92431 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  373): 92450 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): 93187 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@440710a0
V/DBox    (  373): 93198 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): 94432 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
V/DBox    (  373): 94436 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): 98830 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Account settings
V/DBox    (  373): 98851 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  373): 98852 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  373): 98853 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  373): 98854 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  373): 98854 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  373): 98874 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
V/DBox    (  373): 98874 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  373): 98882 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  373): 99411 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
V/DBox    (  373): 99412 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
V/DBox    (  373): 99416 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
V/DBox    (  373): 107191 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  373): 107193 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  373): 107242 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  373): 107243 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->connectV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
V/DBox    (  373): Ljava/net/Socket;->closeV
