* daemon not running. starting it now on port 5037 *
* daemon started successfully *
--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  648): 603145 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 603211 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 603601 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 603620 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 603826 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 603867 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 604136 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 604171 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 604415 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 604472 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 604743 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 604772 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 605164 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 605182 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 605367 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 605409 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 605626 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 605649 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 605765 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43ed2280
V/DBox    (  648): 605775 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  648): 605778 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  648): 605779 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 605779 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 605780 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  648): 605790 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  648): 605877 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  648): 605878 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  648): 605878 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 605878 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 605886 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  648): 606093 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 606110 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 606112 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 606112 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 609330 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  648): 609332 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 609334 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 609359 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  648): 609368 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  648): 609369 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 609369 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 609378 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  648): 609397 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 609405 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 609406 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 609417 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 609683 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  648): 609687 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  648): 609687 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  648): 609689 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  648): 611447 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f482e0
V/DBox    (  648): 611472 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  648): 611474 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  648): 611478 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 611478 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 611479 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  648): 611497 + Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  648): 611601 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  648): 611637 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  648): 611649 - Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  648): 611650 + Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  648): 611651 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  648): 611652 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  648): 611653 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 611653 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 611660 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  648): 611661 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  648): 611666 - Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  648): 611675 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 611705 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 611779 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 611785 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 615282 + Lcom/facebook/katana/MyTabWidget$TabClickListener; onClick android.widget.LinearLayout@440a75c0
V/DBox    (  648): 615299 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  648): 615300 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 615301 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 615303 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  648): 615306 + Lcom/facebook/katana/UserInfoActivity; onCreate
V/DBox    (  648): 615336 - Lcom/facebook/katana/UserInfoActivity; onCreate
V/DBox    (  648): 615337 + Lcom/facebook/katana/UserInfoActivity; onResume
V/DBox    (  648): 615337 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 615338 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  648): 615340 - Lcom/facebook/katana/UserInfoActivity; onResume
V/DBox    (  648): 615342 - Lcom/facebook/katana/MyTabWidget$TabClickListener; onClick
V/DBox    (  648): 615367 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 615388 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  648): 617771 + Lcom/facebook/katana/MyTabWidget$TabClickListener; onClick android.widget.LinearLayout@44069158
V/DBox    (  648): 617779 + Lcom/facebook/katana/UserInfoActivity; onPause
V/DBox    (  648): 617780 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 617782 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  648): 617784 - Lcom/facebook/katana/UserInfoActivity; onPause
V/DBox    (  648): 617787 + Lcom/facebook/katana/AlbumsActivity; onCreate
V/DBox    (  648): 617834 - Lcom/facebook/katana/AlbumsActivity; onCreate
V/DBox    (  648): 617834 + Lcom/facebook/katana/AlbumsActivity; onResume
V/DBox    (  648): 617835 + Lcom/facebook/katana/FacebookListActivity; onResume
