--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  564): 69071 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  564): 69072 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 69072 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 69076 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  564): 69089 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  564): 69158 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  564): 69158 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  564): 69158 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 69159 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 69172 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  564): 69335 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 69341 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 71971 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  564): 71973 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 71976 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  564): 72014 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  564): 72046 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  564): 72047 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 72047 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  564): 72073 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  564): 72275 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 72282 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 72282 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 72298 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  564): 72556 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  564): 72558 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  564): 72560 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  564): 72568 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  564): 78106 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f0fb00
V/DBox    (  564): 78128 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  564): 78129 + Lcom/facebook/katana/HomeActivity; onPause
