--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  566): 770571 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  566): 770573 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  566): 770576 - Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    (  566): 772702 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  566): 772709 + Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    (  566): 772711 - Lcom/facebook/katana/FriendsActivity; onPause
V/DBox    (  566): 772712 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  566): 772739 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 772739 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 772740 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 772755 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 772769 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 772790 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 772791 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 772820 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 773057 + Lcom/facebook/katana/UsersTabHostActivity; onDestroy
V/DBox    (  566): 773058 - Lcom/facebook/katana/UsersTabHostActivity; onDestroy
V/DBox    (  566): 777273 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@4406e470
V/DBox    (  566): 777300 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  566): 777307 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 777308 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 777308 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 777309 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 777321 + Lcom/facebook/katana/UsersTabHostActivity; onCreate
V/DBox    (  566): 777354 + Lcom/facebook/katana/FriendsActivity; onCreate
V/DBox    (  566): 777384 - Lcom/facebook/katana/FriendsActivity; onCreate
V/DBox    (  566): 777400 - Lcom/facebook/katana/UsersTabHostActivity; onCreate
V/DBox    (  566): 777400 + Lcom/facebook/katana/FacebookTabActivity; onResume
