--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  566): 59539 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 59982 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 59999 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 60330 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 60371 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 60648 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 60727 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 61013 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 61049 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 61291 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 61334 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 61546 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 61573 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 61989 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 62007 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 62215 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 62240 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 62624 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 62666 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 62934 + Lcom/facebook/katana/HomeActivity$5; onClick android.app.AlertDialog@43fa2ab8
V/DBox    (  566): 63020 - Lcom/facebook/katana/HomeActivity$5; onClick
V/DBox    (  566): 63025 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 63032 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 63086 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 63110 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 63462 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 63541 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 64159 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 64192 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 64255 + Lcom/facebook/katana/platform/FacebookAuthenticationService; onCreate
V/DBox    (  566): 64309 - Lcom/facebook/katana/platform/FacebookAuthenticationService; onCreate
V/DBox    (  566): 64629 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  566): 64653 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  566): 64663 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 64664 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 64665 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 64666 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 64684 + Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  566): 65514 - Lcom/facebook/katana/LoginActivity; onCreate
V/DBox    (  566): 65515 + Lcom/facebook/katana/LoginActivity; onResume
V/DBox    (  566): 65515 + Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  566): 65515 - Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  566): 65523 - Lcom/facebook/katana/LoginActivity; onResume
V/DBox    (  566): 82585 + Lcom/facebook/katana/LoginActivity; onClick android.widget.Button@43fc45c8
V/DBox    (  566): 82646 - Lcom/facebook/katana/LoginActivity; onClick
V/DBox    (  566): 82682 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  566): 82682 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  566): 82683 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 82691 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 84499 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  566): 84509 + Lcom/facebook/katana/LoginActivity; onPause
V/DBox    (  566): 84509 + Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  566): 84510 - Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  566): 84511 - Lcom/facebook/katana/LoginActivity; onPause
V/DBox    (  566): 84524 + Lcom/facebook/katana/SyncContactsSetupActivity; onCreate
V/DBox    (  566): 84596 - Lcom/facebook/katana/SyncContactsSetupActivity; onCreate
V/DBox    (  566): 84597 + Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  566): 84599 - Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  566): 84797 + Lcom/facebook/katana/LoginActivity; onDestroy
V/DBox    (  566): 84801 - Lcom/facebook/katana/LoginActivity; onDestroy
V/DBox    (  566): 85469 + Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  566): 85470 - Lcom/facebook/katana/service/FacebookService; onCreate
V/DBox    (  566): 85474 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 85486 > Lcom/facebook/katana/binding/AppSession; acquireWakeLock
V/DBox    (  566): 85487 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 85489 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 85506 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 86018 + Lcom/facebook/katana/SyncContactsSetupActivity; onClick android.widget.RelativeLayout@43f30c00
V/DBox    (  566): 86019 - Lcom/facebook/katana/SyncContactsSetupActivity; onClick
V/DBox    (  566): 86337 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 86350 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 86352 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 86352 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 86355 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 86356 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 86357 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 86358 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 86359 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 86360 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 86361 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 86364 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 86366 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 86368 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 87340 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 87341 > Lcom/facebook/katana/binding/AppSession; acquireWakeLock
V/DBox    (  566): 87343 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 87344 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 87383 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 87732 + Lcom/facebook/katana/SyncContactsSetupActivity; onClick android.widget.Button@43f32350
V/DBox    (  566): 87783 - Lcom/facebook/katana/SyncContactsSetupActivity; onClick
V/DBox    (  566): 87783 + Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  566): 87784 - Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  566): 87804 + Lcom/facebook/katana/HelpfulHintsActivity; onCreate
V/DBox    (  566): 88025 - Lcom/facebook/katana/HelpfulHintsActivity; onCreate
V/DBox    (  566): 88026 + Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  566): 88027 - Lcom/facebook/katana/FacebookActivity; onResume
V/DBox    (  566): 89287 < Lcom/facebook/katana/binding/AppSession; releaseWakeLock
V/DBox    (  566): 89390 + Lcom/facebook/katana/HelpfulHintsActivity; onClick android.widget.Button@43f97480
V/DBox    (  566): 89421 - Lcom/facebook/katana/HelpfulHintsActivity; onClick
V/DBox    (  566): 89453 + Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  566): 89454 - Lcom/facebook/katana/FacebookActivity; onPause
V/DBox    (  566): 89525 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  566): 89565 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  566): 89565 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  566): 89565 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 89566 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 89596 - Lcom/facebook/katana/StreamActivity; onResume
