--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  566): 1124115 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  566): 1124115 - Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  566): 1125891 + Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  566): 1125893 + Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  566): 1125895 + Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  566): 1125900 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1125902 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1125909 - Lcom/facebook/katana/StreamActivity; onPause
V/DBox    (  566): 1125911 - Lcom/facebook/katana/FacebookTabActivity; onPause
V/DBox    (  566): 1125912 - Lcom/facebook/katana/ProfileTabHostActivity; onPause
V/DBox    (  566): 1125935 + Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 1125936 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1125936 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1125944 - Lcom/facebook/katana/HomeActivity; onResume
V/DBox    (  566): 1125951 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1125958 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1125960 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1125969 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  566): 1126186 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  566): 1126189 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  566): 1126190 + Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    (  566): 1126192 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  566): 1126193 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  566): 1126194 - Lcom/facebook/katana/ProfileTabHostActivity; onDestroy
V/DBox    (  566): 1127116 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43fe5880
V/DBox    (  566): 1127125 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  566): 1127128 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 1127129 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1127132 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  566): 1127134 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  566): 1127155 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  566): 1127179 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  566): 1127179 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  566): 1127180 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  566): 1127180 - Lcom/facebook/katana/FacebookListActivity; onResume
