--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  401): 950092 - Lcom/fsck/k9/activity/setup/AccountSetupCheckSettings; onDestroy
V/DBox    (  401): 954281 + Lcom/fsck/k9/activity/setup/AccountSetupNames; onClick android.widget.Button@46266e88
V/DBox    (  401): 954340 - Lcom/fsck/k9/activity/setup/AccountSetupNames; onClick
V/DBox    (  401): 954359 + Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  401): 954360 + Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  401): 954362 - Lcom/fsck/k9/K9ListActivity; onCreate
V/DBox    (  401): 954389 - Lcom/fsck/k9/activity/FolderList; onCreate
V/DBox    (  401): 954390 + Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  401): 954390 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): 954394 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): 954406 - Lcom/fsck/k9/activity/FolderList; onResume
V/DBox    (  401): 979456 + Lcom/fsck/k9/activity/FolderList$2; onItemClick android.widget.ListView@461df908
V/DBox    (  401): 979586 - Lcom/fsck/k9/activity/FolderList$2; onItemClick
V/DBox    (  401): 979593 + Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  401): 979594 - Lcom/fsck/k9/activity/FolderList; onSaveInstanceState
V/DBox    (  401): 979595 + Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  401): 979596 - Lcom/fsck/k9/activity/FolderList; onPause
V/DBox    (  401): 979607 + Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  401): 979607 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  401): 979609 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  401): 979646 - Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  401): 979646 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  401): 979647 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  401): 979650 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  401): 979726 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  401): 983790 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 983794 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 983805 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 983806 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 983835 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 983836 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 983861 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 983863 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 983888 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 983895 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984079 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984085 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984112 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984112 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984136 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984137 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984153 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984154 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984180 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984181 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984208 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
V/DBox    (  401): 984208 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 984236 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@461b18c8
