--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  401): 2449164 - Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  401): 3139739 + Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  401): 3139739 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): 3139742 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): 3139753 - Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  401): 3151446 + Lcom/fsck/k9/activity/Accounts; onCreateContextMenu com.android.internal.view.menu.ContextMenuBuilder@4626d248
V/DBox    (  401): 3151452 - Lcom/fsck/k9/activity/Accounts; onCreateContextMenu
V/DBox    (  401): 3152939 + Lcom/fsck/k9/activity/Accounts; onContextItemSelected Account settings
V/DBox    (  401): 3152970 - Lcom/fsck/k9/activity/Accounts; onContextItemSelected
V/DBox    (  401): 3152985 + Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  401): 3152986 - Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  401): 3152987 + Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  401): 3152987 - Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  401): 3153004 + Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
V/DBox    (  401): 3153004 + Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  401): 3153012 - Lcom/fsck/k9/K9PreferenceActivity; onCreate
V/DBox    (  401): 3153143 - Lcom/fsck/k9/activity/setup/AccountSettings; onCreate
V/DBox    (  401): 3153143 + Lcom/fsck/k9/activity/setup/AccountSettings; onResume
V/DBox    (  401): 3153152 - Lcom/fsck/k9/activity/setup/AccountSettings; onResume
V/DBox    (  401): 3189577 + Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  401): 3189577 - Lcom/fsck/k9/service/MailService; onCreate
V/DBox    (  401): 3189619 + Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  401): 3189619 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): 3189621 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): Ljava/net/Socket;->closeV
V/DBox    (  401): 3189653 - Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  401): 3189837 + Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  401): 3189838 - Lcom/fsck/k9/service/MailService; onDestroy
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): 3193437 + Lcom/fsck/k9/activity/Accounts; onItemClick android.widget.ListView@4616d568
V/DBox    (  401): 3193488 - Lcom/fsck/k9/activity/Accounts; onItemClick
V/DBox    (  401): 3193488 + Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  401): 3193489 - Lcom/fsck/k9/activity/Accounts; onSaveInstanceState
V/DBox    (  401): 3193490 + Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  401): 3193491 - Lcom/fsck/k9/activity/Accounts; onPause
V/DBox    (  401): 3193509 + Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  401): 3193509 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  401): 3193512 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  401): 3193537 - Lcom/fsck/k9/activity/MessageList; onCreate
V/DBox    (  401): 3193538 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  401): 3193538 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  401): 3193540 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  401): 3193799 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  401): 3199289 + Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu com.android.internal.view.menu.MenuBuilder@462980b8
V/DBox    (  401): 3199314 - Lcom/fsck/k9/activity/MessageList; onCreateOptionsMenu
V/DBox    (  401): 3200542 + Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected Check mail
V/DBox    (  401): 3200545 - Lcom/fsck/k9/activity/MessageList; onOptionsItemSelected
V/DBox    (  401): Ljava/net/Socket;->connectV
V/DBox    (  401): 3213041 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@464de9a0
V/DBox    (  401): 3213045 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 3213061 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@464de9a0
V/DBox    (  401): 3213063 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 3213104 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@464de9a0
V/DBox    (  401): 3213114 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 3213128 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@464de9a0
V/DBox    (  401): 3213131 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 3213136 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@464de9a0
V/DBox    (  401): 3213141 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    (  401): 3213294 + Lcom/fsck/k9/activity/MessageList; onItemClick android.widget.ListView@464de9a0
V/DBox    (  401): 3213465 - Lcom/fsck/k9/activity/MessageList; onItemClick
V/DBox    (  401): 3213466 + Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  401): 3213470 - Lcom/fsck/k9/activity/MessageList; onSaveInstanceState
V/DBox    (  401): 3213471 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  401): 3213472 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  401): 3213517 + Lcom/fsck/k9/activity/MessageView; onCreate
V/DBox    (  401): 3213517 + Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  401): 3213521 - Lcom/fsck/k9/K9Activity; onCreate
V/DBox    (  401): 3213679 - Lcom/fsck/k9/activity/MessageView; onCreate
V/DBox    (  401): 3213681 + Lcom/fsck/k9/activity/MessageView; onResume
V/DBox    (  401): 3213681 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  401): 3213683 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  401): 3213684 - Lcom/fsck/k9/activity/MessageView; onResume
V/DBox    (  401): 3216354 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@4625f820
V/DBox    (  401): 3216368 - Lcom/fsck/k9/activity/MessageView; onClick
V/DBox    (  401): 3218955 + Lcom/fsck/k9/activity/MessageView; onClick android.widget.Button@46466ae8
V/DBox    (  401): 3218963 - Lcom/fsck/k9/activity/MessageView; onClick
V/DBox    (  401): 3221837 + Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  401): 3221838 + Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  401): 3221839 - Lcom/fsck/k9/K9Activity; onResume
V/DBox    (  401): 3222053 - Lcom/fsck/k9/activity/MessageList; onResume
V/DBox    (  401): 3224399 + Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  401): 3224403 - Lcom/fsck/k9/activity/MessageList; onPause
V/DBox    (  401): 3224423 + Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  401): 3224426 + Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): 3224442 - Lcom/fsck/k9/K9ListActivity; onResume
V/DBox    (  401): 3224456 - Lcom/fsck/k9/activity/Accounts; onResume
V/DBox    (  401): 3233002 + Lcom/fsck/k9/activity/Accounts; onOptionsItemSelected Settings
