--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    (  985): 902144 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902147 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902148 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902152 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902153 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902155 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902156 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902157 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902158 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902159 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902161 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902163 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902164 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902165 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902167 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902169 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902172 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902179 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902181 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902183 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902185 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902187 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902189 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902190 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902191 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902192 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902193 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902196 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902199 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902201 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902202 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902203 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  985): 902203 - Lcom/facebook/katana/service/FacebookService; onStart
