Time (s),Main Avg Power (mW)
0.0556,1041.339
0.0558,1043.310
0.0560,1041.588
0.0562,1016.075
0.0564,1017.927
0.0566,1034.930
0.0568,1024.455
0.0570,1041.339
0.0572,1083.244
0.0574,1085.599
0.0576,1085.599
0.0578,1093.590
0.0580,1095.816
0.0582,1076.830
0.0584,1079.054
0.0586,1093.721
0.0588,1091.886
0.0590,1085.599
0.0592,1087.305
0.0594,1089.400
0.0596,1074.863
0.0598,1066.355
0.0600,1049.595
0.0602,1049.345
0.0604,1041.339
0.0606,1057.975
0.0608,1060.196
0.0610,1043.061
0.0612,1041.215
0.0614,1053.785
0.0616,1049.595
0.0618,1049.595
0.0620,1057.975
0.0622,1066.482
0.0624,1060.196
0.0626,1053.785
0.0628,1058.101
0.0630,1062.292
0.0632,1055.880
0.0634,1058.101
0.0636,1062.165
0.0638,1064.387
0.0640,1053.534
0.0642,1058.101
0.0644,1053.911
0.0646,1037.025
0.0648,1035.301
0.0650,1030.740
0.0652,1072.640
0.0654,1072.640
0.0656,1083.115
0.0658,1081.020
0.0660,1091.625
0.0662,1078.925
0.0664,1082.857
0.0666,1106.556
0.0668,1089.790
0.0670,1078.668
0.0672,1101.970
0.0674,1093.982
0.0676,1081.020
0.0678,1091.495
0.0680,1101.970
0.0682,1068.577
0.0684,1053.911
0.0686,1055.880
0.0688,1045.405
0.0690,1047.625
0.0692,1047.625
0.0694,1047.500
0.0696,1060.070
0.0698,1053.785
0.0700,1051.815
0.0702,1055.880
0.0704,1047.875
0.0706,1045.779
0.0708,1053.785
0.0710,1041.215
0.0712,1045.405
0.0714,1053.534
0.0716,1055.880
0.0718,1047.250
0.0720,1039.492
0.0722,1047.875
0.0724,1043.310
0.0726,1037.149
0.0728,1016.075
0.0730,1034.683
0.0732,1039.120
0.0734,1005.600
0.0736,1045.530
0.0738,1068.450
0.0740,1074.479
0.0742,1089.400
0.0744,1108.387
0.0746,1087.435
0.0748,1074.863
0.0750,1087.305
0.0752,1085.340
0.0754,1087.305
0.0756,1089.530
0.0758,1104.460
0.0760,1081.020
0.0762,1072.640
