Time (s),Main Avg Power (mW)
0.0000,1135.490
0.0002,1158.535
0.0004,1154.345
0.0006,1141.775
0.0008,1116.635
0.0010,1120.825
0.0012,1177.812
0.0014,1160.353
0.0016,1133.395
0.0018,1120.825
0.0020,1116.768
0.0022,1131.300
0.0024,1107.990
0.0026,1547.836
0.0028,1290.520
0.0030,1097.780
0.0032,1125.149
0.0034,1112.445
0.0036,1104.065
0.0038,1087.435
0.0040,1089.140
0.0042,1139.408
0.0044,1135.490
0.0046,1118.730
0.0048,1108.387
0.0050,1101.970
0.0052,1133.395
0.0054,1125.015
0.0056,1120.825
0.0058,1104.197
0.0060,1097.780
0.0062,1139.816
0.0064,1128.936
0.0066,1108.255
0.0068,1070.545
0.0070,1095.424
0.0072,1122.920
0.0074,1105.896
0.0076,1549.560
0.0078,1340.480
0.0080,1120.825
0.0082,1370.130
0.0084,1160.630
0.0086,1146.102
0.0088,1125.015
0.0090,1133.395
0.0092,1179.485
0.0094,1162.725
0.0096,1141.775
0.0098,1137.585
0.0100,1133.125
0.0102,1160.630
0.0104,1154.070
0.0106,1124.747
0.0108,1093.720
0.0110,1087.435
0.0112,1125.149
0.0114,1114.540
0.0116,1097.780
0.0118,1085.210
0.0120,1104.065
0.0122,1135.625
0.0124,1110.350
0.0126,1537.363
0.0128,1290.212
0.0130,1091.495
0.0132,1114.540
0.0134,1112.445
0.0136,1112.445
0.0138,1091.495
0.0140,1091.495
0.0142,1120.825
0.0144,1114.540
0.0146,1097.780
0.0148,1085.210
0.0150,1083.244
0.0152,1087.305
0.0154,1085.210
0.0156,1091.495
0.0158,1060.070
0.0160,1087.305
0.0162,1158.673
0.0164,1148.060
0.0166,1143.870
0.0168,1129.205
0.0170,1131.300
0.0172,1154.345
0.0174,1141.503
0.0176,1583.064
0.0178,1338.705
0.0180,1130.085
0.0182,1359.655
0.0184,1150.292
0.0186,1129.205
0.0188,1104.065
0.0190,1087.305
0.0192,1125.015
0.0194,1123.054
0.0196,1112.445
0.0198,1100.006
0.0200,1085.210
0.0202,1118.730
0.0204,1112.180
0.0206,1104.065
0.0208,1091.495
0.0210,1095.685
0.0212,1137.585
0.0214,1127.110
0.0216,1106.160
0.0218,1097.780
0.0220,1099.350
0.0222,1128.936
0.0224,1122.920
0.0226,1547.466
0.0228,1309.844
0.0230,1097.780
0.0232,1131.300
0.0234,1114.274
0.0236,1098.173
0.0238,1078.925
0.0240,1072.384
0.0242,1148.060
0.0244,1150.155
0.0246,1141.775
0.0248,1125.015
0.0250,1131.300
0.0252,1154.070
0.0254,1151.975
0.0256,1162.725
0.0258,1135.490
0.0260,1120.825
0.0262,1171.105
0.0264,1162.725
0.0266,1137.585
0.0268,1127.110
0.0270,1139.816
0.0272,1145.965
0.0274,1118.730
0.0276,1534.902
0.0278,1298.590
0.0280,1087.305
0.0282,1330.325
0.0284,1114.540
