Time (s),Main Avg Power (mW)
0.0556,1512.770
0.0558,1512.770
0.0560,1525.160
0.0562,1516.780
0.0564,1922.292
0.0566,1717.900
0.0568,1520.970
0.0570,1585.915
0.0572,1583.820
0.0574,1575.440
0.0576,1575.064
0.0578,1562.870
0.0580,1585.915
0.0582,1569.155
0.0584,1575.064
0.0586,1571.250
0.0588,1560.775
0.0590,1585.536
0.0592,1577.723
0.0594,1558.680
0.0596,1525.160
0.0598,1514.323
0.0600,1552.395
0.0602,1543.647
0.0604,1541.920
0.0606,1525.342
0.0608,1512.590
0.0610,1544.015
0.0612,1539.825
0.0614,1947.420
0.0616,1749.325
0.0618,1527.255
0.0620,1567.060
0.0622,1556.214
0.0624,1544.199
0.0626,1539.825
0.0628,1527.255
0.0630,1562.870
0.0632,1548.205
0.0634,1548.205
0.0636,1535.818
0.0638,1527.255
0.0640,1558.680
0.0642,1531.080
0.0644,1739.057
0.0646,1504.210
0.0648,1504.210
0.0650,1575.628
0.0652,1575.440
0.0654,1573.345
0.0656,1554.490
0.0658,1567.060
0.0660,1583.820
0.0662,1577.535
0.0664,2008.146
0.0666,1782.845
0.0668,1554.490
0.0670,1591.820
0.0672,1596.009
0.0674,1577.723
0.0676,1571.250
0.0678,1575.440
0.0680,1591.820
0.0682,1546.110
0.0684,1537.730
0.0686,1520.970
0.0688,1516.780
0.0690,1546.294
0.0692,1544.015
0.0694,1550.300
0.0696,1525.160
0.0698,1518.875
0.0700,1552.395
0.0702,1546.110
0.0704,1531.527
0.0706,2428.105
0.0708,2660.650
0.0710,2750.735
0.0712,3092.220
0.0714,3125.740
0.0716,3212.963
0.0718,3190.685
0.0720,3119.455
0.0722,3121.550
0.0724,3102.695
0.0726,3103.806
0.0728,3085.198
0.0730,3110.093
0.0732,3004.588
0.0734,3052.779
0.0736,3078.915
0.0738,3248.413
0.0740,3236.003
0.0742,3266.105
0.0744,3258.114
0.0746,3256.018
0.0748,3282.865
0.0750,3178.115
0.0752,3136.215
0.0754,3115.265
0.0756,3001.419
0.0758,2802.441
0.0760,2644.205
0.0762,1964.641
0.0764,2041.261
0.0766,1879.215
0.0768,1523.247
0.0770,1562.497
0.0772,1558.680
0.0774,1533.540
0.0776,1518.513
0.0778,1739.057
0.0780,1552.395
0.0782,1544.015
0.0784,1549.930
0.0786,1814.270
0.0788,2520.285
0.0790,2276.330
0.0792,1612.765
0.0794,1548.205
0.0796,1520.970
0.0798,1526.526
0.0800,2033.848
0.0802,1577.535
0.0804,1550.485
0.0806,1531.445
0.0808,1531.628
0.0810,1527.255
0.0812,1525.706
0.0814,1944.160
0.0816,1814.270
0.0818,1539.825
0.0820,1593.915
0.0822,1774.465
0.0824,1577.535
0.0826,1550.485
0.0828,1581.914
0.0830,1602.675
0.0832,1583.820
0.0834,1570.875
0.0836,1569.342
0.0838,1558.680
0.0840,1810.080
0.0842,1588.018
0.0844,2206.298
0.0846,2329.640
0.0848,2352.685
0.0850,2413.359
0.0852,2382.015
0.0854,2292.203
0.0856,2247.399
0.0858,2268.344
0.0860,2327.545
