Time (s),Main Avg Power (mW)
0.0000,1091.235
0.0002,1110.748
0.0004,1100.006
0.0006,1085.210
0.0008,1099.875
0.0010,1104.065
0.0012,1095.816
0.0014,1093.590
0.0016,1104.460
0.0018,1076.830
0.0020,1055.880
0.0022,1055.880
0.0024,1053.911
0.0026,1051.439
0.0028,1047.625
0.0030,1057.975
0.0032,1068.577
0.0034,1058.101
0.0036,1053.785
0.0038,1058.354
0.0040,1053.911
0.0042,1053.911
0.0044,1053.911
0.0046,1049.595
0.0048,1056.006
0.0050,1058.354
0.0052,1060.196
0.0054,1045.405
0.0056,1049.971
0.0058,1045.405
0.0060,1045.156
0.0062,1049.971
0.0064,1018.291
0.0066,1030.740
0.0068,1051.690
0.0070,1011.885
0.0072,1049.720
0.0074,1078.925
0.0076,1085.599
0.0078,1091.886
0.0080,1112.445
0.0082,1093.982
0.0084,1081.020
0.0086,1095.424
0.0088,1089.530
0.0090,1091.625
0.0092,1097.780
0.0094,1100.269
0.0096,1087.305
0.0098,1079.054
0.0100,1076.959
0.0102,1055.880
0.0104,1049.720
0.0106,1053.785
0.0108,1064.006
0.0110,1062.165
0.0112,1049.595
0.0114,1049.595
0.0116,1055.880
0.0118,1049.720
0.0120,1052.067
0.0122,1064.260
0.0124,1075.120
0.0126,1060.196
0.0128,1058.354
0.0130,1066.482
0.0132,1064.260
0.0134,1054.162
0.0136,1062.292
0.0138,1075.120
0.0140,1064.260
0.0142,1062.292
0.0144,1064.260
0.0146,1064.387
0.0148,1031.109
0.0150,1032.835
0.0152,1057.975
0.0154,1062.165
0.0156,1066.737
0.0158,1097.780
0.0160,1093.329
0.0162,1087.694
0.0164,1085.210
0.0166,1102.101
0.0168,1099.875
0.0170,1093.721
0.0172,1093.329
0.0174,1106.292
0.0176,1097.780
0.0178,1095.685
0.0180,1108.255
0.0182,1106.556
0.0184,1085.340
0.0186,1064.387
0.0188,1066.737
0.0190,1051.690
0.0192,1049.971
0.0194,1053.785
0.0196,1056.006
0.0198,1058.354
0.0200,1060.070
0.0202,1064.387
0.0204,1058.354
0.0206,1049.971
0.0208,1053.911
0.0210,1058.354
0.0212,1043.434
0.0214,1049.595
0.0216,1066.482
0.0218,1062.165
0.0220,1047.500
0.0222,1049.595
0.0224,1053.785
0.0226,1045.405
0.0228,1051.690
0.0230,1145.235
0.0232,1113.109
0.0234,1106.292
0.0236,1104.065
0.0238,1156.578
0.0240,1177.390
0.0242,1192.055
