Time (s),Main Avg Power (mW)
0.0000,1508.400
0.0002,1526.891
0.0004,1529.350
0.0006,1518.875
0.0008,1520.970
0.0010,1527.437
0.0012,1497.925
0.0014,1483.260
0.0016,1481.165
0.0018,1481.342
0.0020,1476.975
0.0022,1474.528
0.0024,1483.437
0.0026,1489.545
0.0028,1487.627
0.0030,1481.165
0.0032,1481.165
0.0034,1483.260
0.0036,1474.528
0.0038,1482.906
0.0040,1474.880
0.0042,1476.975
0.0044,1485.355
0.0046,1487.450
0.0048,1474.880
0.0050,1468.595
0.0052,1476.975
0.0054,1468.595
0.0056,1472.961
0.0058,1449.740
0.0060,1456.025
0.0062,1479.600
0.0064,1439.265
0.0066,1474.880
0.0068,1500.020
0.0070,1506.305
0.0072,1520.607
0.0074,1537.730
0.0076,1516.780
0.0078,1506.305
0.0080,1520.970
0.0082,1512.590
0.0084,1514.323
0.0086,1520.970
0.0088,1529.350
0.0090,1510.495
0.0092,1502.115
0.0094,1504.210
0.0096,1474.880
0.0098,1470.690
0.0100,1479.070
0.0102,1491.818
0.0104,1487.450
0.0106,1474.528
0.0108,1479.070
0.0110,1479.246
0.0112,1476.623
0.0114,1476.975
0.0116,1491.284
0.0118,1500.020
0.0120,1485.355
0.0122,1485.355
0.0124,1493.735
0.0126,1487.450
0.0128,1481.165
0.0130,1493.379
0.0132,1497.925
0.0134,1489.545
0.0136,1487.450
0.0138,1492.174
0.0140,1492.174
0.0142,1453.930
0.0144,1460.215
0.0146,1491.640
0.0148,1479.070
0.0150,1493.379
0.0152,1525.160
0.0154,1510.495
0.0156,1512.590
0.0158,1512.590
0.0160,1527.437
0.0162,1523.065
0.0164,1516.780
0.0166,1518.875
0.0168,1531.445
0.0170,1516.418
0.0172,1514.685
0.0174,1531.445
0.0176,1525.160
0.0178,1497.925
0.0180,1491.640
0.0182,1487.450
0.0184,1475.056
0.0186,1476.975
0.0188,1480.812
0.0190,1476.975
0.0192,1481.165
0.0194,1487.450
0.0196,1489.545
0.0198,1476.975
0.0200,1476.975
0.0202,1483.260
0.0204,1479.246
0.0206,1470.690
0.0208,1476.623
0.0210,1487.450
0.0212,1485.887
0.0214,1474.880
0.0216,1474.880
0.0218,1470.690
0.0220,1470.690
0.0222,1468.245
0.0224,1453.930
0.0226,1470.865
0.0228,1453.930
0.0230,1445.550
0.0232,1468.595
0.0234,1487.450
0.0236,1508.580
0.0238,1527.255
0.0240,1525.160
0.0242,1516.780
0.0244,1516.418
0.0246,1516.780
0.0248,1508.400
0.0250,1510.675
0.0252,1533.723
0.0254,1525.160
0.0256,1508.400
0.0258,1508.400
0.0260,1508.400
0.0262,1479.070
0.0264,1474.880
0.0266,1481.342
0.0268,1489.723
0.0270,1483.260
0.0272,1481.342
0.0274,1476.975
0.0276,1479.070
0.0278,1470.339
0.0280,1483.260
0.0282,1489.545
0.0284,1487.450
0.0286,1491.818
0.0288,1492.174
0.0290,1489.723
0.0292,1594.295
0.0294,1489.545
0.0296,1500.020
0.0298,1497.925
0.0300,1491.818
0.0302,1495.830
0.0304,1500.020
0.0306,1485.532
0.0308,1460.215
0.0310,1485.355
0.0312,1481.165
0.0314,1468.595
0.0316,1495.830
0.0318,1527.255
0.0320,1512.229
0.0322,1514.685
0.0324,1527.255
0.0326,1522.702
0.0328,1516.780
0.0330,1527.255
0.0332,1540.009
0.0334,1518.513
0.0336,1518.875
0.0338,1533.174
0.0340,1531.445
0.0342,1518.513
0.0344,1519.056
0.0346,1500.020
0.0348,1489.723
0.0350,1476.975
0.0352,1921.344
0.0354,1516.780
0.0356,1531.445
0.0358,1522.702
0.0360,1632.005
0.0362,1508.580
0.0364,1489.545
0.0366,1500.020
0.0368,1497.925
0.0370,1493.735
0.0372,1491.640
0.0374,1493.913
0.0376,1500.020
0.0378,1498.104
0.0380,1495.830
0.0382,1491.818
0.0384,1487.450
0.0386,1487.450
0.0388,1493.735
0.0390,1487.983
0.0392,1462.310
0.0394,1468.770
0.0396,1480.812
0.0398,1470.690
0.0400,1491.640
0.0402,1529.898
0.0404,1533.540
0.0406,1533.174
0.0408,1543.647
0.0410,1567.060
0.0412,1675.000
0.0414,1785.153
0.0416,1546.294
0.0418,1539.825
0.0420,1533.540
0.0422,1535.635
0.0424,1533.540
0.0426,1516.418
0.0428,1506.305
0.0430,1496.008
0.0432,1497.925
0.0434,1493.735
0.0436,1504.210
0.0438,1510.675
0.0440,1495.830
0.0442,1489.190
0.0444,1503.851
0.0446,1500.020
0.0448,1500.020
0.0450,1504.389
0.0452,1512.590
0.0454,1508.580
0.0456,1497.925
0.0458,1502.294
0.0460,1508.400
0.0462,1500.020
0.0464,1502.115
0.0466,1531.445
0.0468,1556.771
0.0470,1512.590
0.0472,1502.294
0.0474,1491.640
0.0476,1477.151
0.0478,1464.056
0.0480,1462.310
0.0482,1506.305
0.0484,1502.115
0.0486,1515.227
0.0488,1517.323
0.0490,1516.780
0.0492,1508.400
0.0494,1514.685
0.0496,1533.540
0.0498,1523.247
0.0500,1508.040
0.0502,1529.350
0.0504,1527.255
0.0506,1514.685
0.0508,1518.875
0.0510,1531.445
0.0512,1495.830
0.0514,1483.260
0.0516,1485.355
0.0518,1476.975
0.0520,1474.880
0.0522,1474.528
0.0524,1476.975
0.0526,1491.640
0.0528,1485.355
0.0530,1483.260
0.0532,1481.165
0.0534,1479.070
0.0536,1474.880
0.0538,1483.260
0.0540,1468.595
0.0542,1470.690
0.0544,1487.450
0.0546,1485.000
0.0548,1470.690
0.0550,1470.690
0.0552,1474.880
0.0554,1468.245
0.0556,1468.595
0.0558,1447.645
0.0560,1461.961
0.0562,1466.500
0.0564,1439.265
0.0566,1474.880
0.0568,1496.008
0.0570,1502.115
0.0572,1523.065
0.0574,1535.269
