--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
V/DBox    ( 3704): 17975731 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17975732 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17975759 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17975760 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17975801 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17975808 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17975842 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17975853 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17975854 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17975856 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17975880 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17975880 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17975908 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17975909 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17975935 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17975936 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17975963 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17975964 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17975992 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17975993 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976019 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976020 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976049 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976050 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976076 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976077 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976104 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976106 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976132 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976133 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976160 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976161 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976188 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976188 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976215 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976216 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976243 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976244 - Lcom/fsck/k9/activity/MessageList$1; onTouch
V/DBox    ( 3704): 17976272 + Lcom/fsck/k9/activity/MessageList$1; onTouch android.widget.ListView@440e82e0
V/DBox    ( 3704): 17976273 - Lcom/fsck/k9/activity/MessageList$1; onTouch
