--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
V/DBox    (  561): 56991 + Lcom/facebook/katana/HomeActivity$ReelListener; onItemSelected android.widget.Gallery@43f14830
V/DBox    (  561): 56995 - Lcom/facebook/katana/HomeActivity$ReelListener; onItemSelected
V/DBox    (  561): 57227 + Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  561): 57228 - Lcom/facebook/katana/StreamActivity; onStop
V/DBox    (  561): 57230 + Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  561): 57232 - Lcom/facebook/katana/StreamActivity; onDestroy
V/DBox    (  561): 57992 + Lcom/facebook/katana/HomeActivity; onClick android.widget.LinearLayout@43f224c0
V/DBox    (  561): 58014 - Lcom/facebook/katana/HomeActivity; onClick
V/DBox    (  561): 58017 + Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  561): 58017 + Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  561): 58018 - Lcom/facebook/katana/FacebookListActivity; onPause
V/DBox    (  561): 58018 - Lcom/facebook/katana/HomeActivity; onPause
V/DBox    (  561): 58028 + Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  561): 58084 + Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  561): 58121 - Lcom/facebook/katana/StreamActivity; onCreate
V/DBox    (  561): 58184 - Lcom/facebook/katana/ProfileTabHostActivity; onCreate
V/DBox    (  561): 58185 + Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  561): 58186 + Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  561): 58186 + Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  561): 58187 + Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  561): 58187 - Lcom/facebook/katana/FacebookListActivity; onResume
V/DBox    (  561): 58193 - Lcom/facebook/katana/StreamActivity; onResume
V/DBox    (  561): 58193 - Lcom/facebook/katana/FacebookTabActivity; onResume
V/DBox    (  561): 58196 - Lcom/facebook/katana/ProfileTabHostActivity; onResume
V/DBox    (  561): 58204 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 58278 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 58318 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 58320 > Lcom/facebook/katana/binding/AppSession; acquireWakeLock
V/DBox    (  561): 58328 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 58417 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 58429 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 58431 + Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 58432 - Lcom/facebook/katana/service/FacebookService; onStart
V/DBox    (  561): 60587 + Lcom/facebook/katana/ProfileTabHostActivity; onPause
