up_time cpu_freq utime work_time total_time screen_on brightness wifi_on wifi_rx_bytes wifi_tx_bytes
 2222991	 0.4827586	 7941 20540 120595	 1 0.00392156862745098	 0 0 0
 2223483	 0.4827586	 7949 20552 120642	 1 0.00392156862745098	 0 0 0
 2223966	 0.4827586	 7972 20584 120693	 1 0.00392156862745098	 0 0 0
 2224471	 0.4827586	 7991 20614 120750	 1 0.00392156862745098	 0 0 0
 2224965	 0.4827586	 7998 20629 120795	 1 0.00392156862745098	 0 0 0
 2225465	 0.4827586	 8021 20670 120844	 1 0.00392156862745098	 0 0 0
 2225971	 0.4827586	 8044 20704 120894	 1 0.00392156862745098	 0 0 0
 2226448	 0.4827586	 8055 20747 120942	 1 0.00392156862745098	 0 0 0
 2226959	 0.4827586	 8060 20795 120990	 1 0.00392156862745098	 0 0 0
 2227452	 0.4827586	 8072 20845 121040	 1 0.00392156862745098	 0 0 0
 2227962	 0.4827586	 8077 20896 121091	 1 0.00392156862745098	 0 0 0
 2228452	 0.4827586	 8084 20946 121141	 1 0.00392156862745098	 0 0 0
 2228962	 0.4827586	 8092 20996 121191	 1 0.00392156862745098	 0 0 0
 2229453	 0.4827586	 8099 21046 121241	 1 0.00392156862745098	 0 0 0
 2229957	 0.4827586	 8111 21102 121297	 1 0.00392156862745098	 0 0 0
 2230461	 0.4827586	 8114 21146 121341	 1 0.00392156862745098	 0 0 0
 2230957	 0.4827586	 8126 21196 121391	 1 0.00392156862745098	 0 0 0
 2231463	 0.4827586	 8132 21247 121442	 1 0.00392156862745098	 0 0 0
 2231956	 0.4827586	 8139 21295 121490	 1 0.00392156862745098	 0 0 0
 2232448	 0.4827586	 8145 21346 121541	 1 0.00392156862745098	 0 0 0
 2232957	 0.4827586	 8156 21396 121591	 1 0.00392156862745098	 0 0 0
 2233458	 0.4827586	 8162 21446 121641	 1 0.00392156862745098	 0 0 0
 2233961	 0.4827586	 8165 21496 121691	 1 0.00392156862745098	 0 0 0
 2234453	 0.4827586	 8171 21546 121741	 1 0.00392156862745098	 0 0 0
 2234953	 0.4827586	 8177 21596 121791	 1 0.00392156862745098	 0 0 0
 2235448	 0.4827586	 8189 21647 121842	 1 0.00392156862745098	 0 0 0
 2235956	 0.4827586	 8196 21695 121890	 1 0.00392156862745098	 0 0 0
 2236457	 0.4827586	 8201 21745 121940	 1 0.00392156862745098	 0 0 0
 2236953	 0.4827586	 8212 21795 121990	 1 0.00392156862745098	 0 0 0
 2237463	 0.4827586	 8220 21847 122042	 1 0.00392156862745098	 0 0 0
 2237948	 0.4827586	 8232 21903 122098	 1 0.00392156862745098	 0 0 0
 2238462	 0.4827586	 8239 21946 122141	 1 0.00392156862745098	 0 0 0
 2238963	 0.4827586	 8245 21996 122191	 1 0.00392156862745098	 0 0 0
 2239453	 0.4827586	 8248 22045 122240	 1 0.00392156862745098	 0 0 0
 2239954	 0.4827586	 8253 22095 122290	 1 0.00392156862745098	 0 0 0
 2240448	 0.4827586	 8258 22145 122340	 1 0.00392156862745098	 0 0 0
 2240969	 0.4827586	 8272 22197 122392	 1 0.00392156862745098	 0 0 0
 2241458	 0.4827586	 8277 22245 122440	 1 0.00392156862745098	 0 0 0
 2241970	 0.4827586	 8295 22298 122494	 1 0.00392156862745098	 0 0 0
 2242469	 0.4827586	 8313 22324 122542	 1 0.00392156862745098	 0 0 0
 2242955	 0.22000718	 8326 22349 122592	 1 0.00392156862745098	 0 0 0
 2243451	 0.4827586	 8359 22394 122651	 1 0.00392156862745098	 0 0 0
 2243955	 0.4827586	 8371 22413 122691	 1 0.00392156862745098	 0 0 0
 2244454	 0.4827586	 8395 22450 122745	 1 0.00392156862745098	 0 0 0
 2244955	 0.4827586	 8408 22475 122794	 1 0.00392156862745098	 0 0 0
 2245468	 0.4827586	 8434 22513 122842	 1 0.00392156862745098	 0 0 0
 2245976	 0.22000718	 8446 22533 122899	 1 0.00392156862745098	 0 0 0
 2246454	 0.4827586	 8458 22554 122943	 1 0.00392156862745098	 0 0 0
