Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V)
0.0000,184.000,734.988,3.994500
0.0002,211.000,843.156,3.996000
0.0004,200.000,799.100,3.995500
0.0006,182.500,730.091,4.000500
0.0008,197.000,787.310,3.996500
0.0010,199.500,797.202,3.996000
0.0012,193.000,771.325,3.996500
0.0014,179.000,714.747,3.993000
0.0016,207.500,829.170,3.996000
0.0018,199.500,797.302,3.996500
0.0020,184.500,737.262,3.996000
0.0022,194.500,777.417,3.997000
0.0024,207.500,829.274,3.996500
0.0026,225.500,901.211,3.996500
0.0028,185.500,742.278,4.001500
0.0030,199.000,795.304,3.996500
0.0032,208.500,834.313,4.001500
0.0034,188.500,753.340,3.996500
0.0036,192.500,768.845,3.994000
0.0038,206.500,824.761,3.994000
0.0040,194.000,775.127,3.995500
0.0042,196.500,785.214,3.996000
0.0044,204.500,817.080,3.995500
0.0046,182.000,727.818,3.999000
0.0048,149.500,597.402,3.996000
0.0050,162.500,649.431,3.996500
0.0052,163.500,653.510,3.997000
0.0054,145.500,581.491,3.996500
0.0056,146.000,583.489,3.996500
0.0058,140.000,559.370,3.995500
0.0060,140.000,559.790,3.998500
0.0062,145.500,581.345,3.995500
0.0064,150.000,599.325,3.995500
0.0066,160.500,641.438,3.996500
0.0068,156.500,625.531,3.997000
0.0070,148.500,593.480,3.996500
0.0072,141.000,563.648,3.997500
0.0074,135.000,539.528,3.996500
0.0076,142.000,567.432,3.996000
0.0078,142.000,567.148,3.994000
0.0080,146.500,585.414,3.996000
0.0082,147.500,589.410,3.996000
0.0084,148.000,591.482,3.996500
0.0086,145.000,579.638,3.997500
0.0088,136.000,543.524,3.996500
0.0090,144.000,575.640,3.997500
0.0092,151.500,605.470,3.996500
0.0094,145.500,581.418,3.996000
0.0096,147.500,589.484,3.996500
0.0098,159.000,635.364,3.996000
0.0100,147.500,589.410,3.996000
0.0102,141.500,565.363,3.995500
0.0104,136.500,545.181,3.994000
0.0106,129.000,515.226,3.994000
0.0108,145.500,581.563,3.997000
0.0110,144.500,577.494,3.996500
0.0112,140.000,559.510,3.996500
0.0114,147.500,589.557,3.997000
0.0116,142.500,569.644,3.997500
0.0118,141.000,563.648,3.997500
0.0120,138.000,551.517,3.996500
0.0122,143.000,571.428,3.996000
0.0124,141.000,563.436,3.996000
0.0126,141.500,565.080,3.993500
0.0128,141.000,563.224,3.994500
0.0130,140.500,561.508,3.996500
0.0132,132.500,529.602,3.997000
0.0134,130.000,519.545,3.996500
0.0136,127.500,509.617,3.997000
0.0138,118.500,473.467,3.995500
0.0140,126.500,505.241,3.994000
0.0142,142.500,569.359,3.995500
0.0144,147.000,587.339,3.995500
0.0146,143.000,571.070,3.993500
0.0148,143.500,573.211,3.994500
0.0150,147.500,589.336,3.995500
0.0152,162.000,647.433,3.996500
0.0154,154.500,617.459,3.996500
0.0156,151.000,603.547,3.997000
0.0158,131.500,525.540,3.996500
0.0160,140.000,559.580,3.997000
0.0162,147.500,589.041,3.993500
0.0164,222.000,886.668,3.994000
0.0166,239.000,954.446,3.993500
0.0168,229.000,914.626,3.994000
0.0170,222.000,885.780,3.990000
0.0172,229.000,914.740,3.994500
0.0174,228.000,911.088,3.996000
0.0176,211.500,845.154,3.996000
0.0178,217.500,869.239,3.996500
0.0180,233.000,931.301,3.997000
0.0182,234.000,935.064,3.996000
0.0184,215.500,861.138,3.996000
0.0186,222.500,889.221,3.996500
0.0188,231.000,922.614,3.994000
0.0190,219.500,877.232,3.996500
0.0192,205.000,819.180,3.996000
0.0194,221.000,882.784,3.994500
0.0196,227.500,909.204,3.996500
0.0198,206.000,823.279,3.996500
0.0200,218.500,873.235,3.996500
0.0202,230.000,919.195,3.996500
0.0204,214.000,854.823,3.994500
0.0206,205.000,819.078,3.995500
0.0208,230.500,920.732,3.994500
0.0210,221.500,885.114,3.996000
0.0212,209.000,834.746,3.994000
0.0214,231.000,922.383,3.993000
0.0216,210.000,839.265,3.996500
0.0218,170.500,681.403,3.996500
0.0220,156.000,623.532,3.997000
0.0222,154.500,617.536,3.997000
0.0224,145.000,579.492,3.996500
0.0226,146.000,583.489,3.996500
0.0228,147.000,587.412,3.996000
0.0230,142.000,567.361,3.995500
0.0232,147.500,589.189,3.994500
0.0234,154.500,617.382,3.996000
0.0236,150.500,601.398,3.996000
0.0238,144.000,575.424,3.996000
0.0240,144.000,575.136,3.994000
0.0242,149.000,595.479,3.996500
0.0244,146.000,583.416,3.996000
0.0246,153.000,611.388,3.996000
0.0248,155.500,621.145,3.994500
0.0250,155.000,619.458,3.996500
0.0252,146.000,583.416,3.996000
0.0254,140.000,559.370,3.995500
0.0256,145.500,581.418,3.996000
0.0258,145.000,579.348,3.995500
0.0260,145.000,579.420,3.996000
0.0262,149.500,597.477,3.996500
0.0264,148.500,593.555,3.997000
0.0266,143.500,573.498,3.996500
0.0268,145.000,579.638,3.997500
0.0270,142.000,567.503,3.996500
0.0272,136.500,545.454,3.996000
0.0274,137.000,547.452,3.996000
0.0276,138.500,553.446,3.996000
0.0278,136.000,543.252,3.994500
0.0280,138.000,551.517,3.996500
0.0282,134.500,537.596,3.997000
0.0284,133.000,531.667,3.997500
0.0286,131.000,523.542,3.996500
0.0288,143.500,573.354,3.995500
0.0290,131.500,525.605,3.997000
0.0292,130.500,521.478,3.996000
0.0294,133.500,533.533,3.996500
0.0296,131.500,525.277,3.994500
0.0298,132.000,527.472,3.996000
0.0300,132.500,529.404,3.995500
0.0302,133.000,531.601,3.997000
