Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V)
0.0000,158.500,633.445,3.996500
0.0002,211.500,845.260,3.996500
0.0004,220.500,881.228,3.996500
0.0006,198.500,793.305,3.996500
0.0008,183.000,732.000,4.000000
0.0010,201.500,805.093,3.995500
0.0012,205.500,822.514,4.002500
0.0014,180.000,719.190,3.995500
0.0016,188.000,751.436,3.997000
0.0018,202.000,807.495,3.997500
0.0020,200.000,799.300,3.996500
0.0022,177.000,707.292,3.996000
0.0024,195.500,780.827,3.994000
0.0026,205.500,820.870,3.994500
0.0028,189.000,755.244,3.996000
0.0030,184.000,735.264,3.996000
0.0032,198.500,793.107,3.995500
0.0034,206.500,825.690,3.998500
0.0036,179.500,717.282,3.996000
0.0038,191.500,765.521,3.997500
0.0040,203.000,811.492,3.997500
0.0042,195.000,778.927,3.994500
0.0044,184.500,737.354,3.996500
0.0046,209.500,837.267,3.996500
0.0048,199.000,795.403,3.997000
0.0050,182.500,729.270,3.996000
0.0052,205.500,820.767,3.994000
0.0054,187.000,747.159,3.995500
0.0056,161.000,643.356,3.996000
0.0058,152.000,607.620,3.997500
0.0060,151.500,605.470,3.996500
0.0062,152.500,609.619,3.997500
0.0064,149.000,595.851,3.999000
0.0066,143.000,571.643,3.997500
0.0068,135.500,541.594,3.997000
0.0070,149.500,597.178,3.994500
0.0072,146.500,585.194,3.994500
0.0074,157.500,629.291,3.995500
0.0076,157.000,627.372,3.996000
0.0078,149.500,597.477,3.996500
0.0080,145.000,579.638,3.997500
0.0082,136.500,545.864,3.999000
0.0084,144.500,577.639,3.997500
0.0086,141.000,563.648,3.997500
0.0088,143.500,573.354,3.995500
0.0090,152.000,607.468,3.996500
0.0092,153.000,611.464,3.996500
0.0094,159.500,637.442,3.996500
0.0096,134.500,537.395,3.995500
0.0098,137.000,547.178,3.994000
0.0100,145.000,579.492,3.996500
0.0102,149.000,595.628,3.997500
0.0104,146.500,585.780,3.998500
0.0106,146.000,583.635,3.997500
0.0108,145.000,579.565,3.997000
0.0110,146.500,585.414,3.996000
0.0112,136.000,543.524,3.996500
0.0114,138.000,551.241,3.994500
0.0116,136.500,545.249,3.994500
0.0118,139.500,557.163,3.994000
0.0120,145.000,579.057,3.993500
0.0122,161.000,643.356,3.996000
0.0124,140.500,561.578,3.997000
0.0126,140.500,561.649,3.997500
0.0128,121.500,485.575,3.996500
0.0130,108.000,431.676,3.997000
0.0132,106.000,423.523,3.995500
0.0134,105.500,421.525,3.995500
0.0136,106.000,423.576,3.996000
0.0138,108.000,431.406,3.994500
0.0140,110.000,439.395,3.994500
0.0142,105.500,421.420,3.994500
0.0144,104.000,415.376,3.994000
0.0146,106.500,425.840,3.998500
0.0148,121.000,483.697,3.997500
0.0150,131.500,525.869,3.999000
0.0152,136.000,543.524,3.996500
0.0154,144.000,575.856,3.999000
0.0156,149.000,595.479,3.996500
0.0158,150.000,599.325,3.995500
0.0160,149.500,597.477,3.996500
0.0162,140.000,559.090,3.993500
0.0164,148.500,593.480,3.996500
0.0166,150.500,600.871,3.992500
0.0168,221.500,885.225,3.996500
0.0170,225.000,899.325,3.997000
0.0172,197.500,789.210,3.996000
0.0174,186.500,744.695,3.993000
0.0176,205.500,821.383,3.997000
0.0178,204.500,817.080,3.995500
0.0180,175.000,699.388,3.996500
0.0182,214.000,854.609,3.993500
0.0184,227.500,908.976,3.995500
0.0186,198.500,793.206,3.996000
0.0188,179.000,715.016,3.994500
0.0190,196.500,785.214,3.996000
0.0192,207.000,827.482,3.997500
0.0194,187.000,747.346,3.996500
0.0196,186.000,743.535,3.997500
0.0198,198.000,791.307,3.996500
0.0200,203.000,811.087,3.995500
0.0202,182.000,727.272,3.996000
0.0204,194.500,776.833,3.994000
0.0206,206.500,824.658,3.993500
0.0208,194.000,775.127,3.995500
0.0210,186.500,745.347,3.996500
0.0212,209.000,835.373,3.997000
0.0214,199.000,795.304,3.996500
0.0216,187.500,749.438,3.997000
0.0218,206.000,823.279,3.996500
0.0220,187.500,749.344,3.996500
0.0222,158.000,631.289,3.995500
0.0224,151.500,605.545,3.997000
0.0226,156.500,624.983,3.993500
0.0228,145.000,579.057,3.993500
0.0230,148.500,593.183,3.994500
0.0232,139.000,555.235,3.994500
0.0234,142.000,567.006,3.993000
0.0236,145.500,581.418,3.996000
0.0238,151.500,605.773,3.998500
0.0240,162.000,647.271,3.995500
0.0242,155.500,621.767,3.998500
0.0244,144.500,577.494,3.996500
0.0246,136.500,545.454,3.996000
0.0248,139.500,557.372,3.995500
0.0250,143.000,571.500,3.996500
0.0252,142.000,567.361,3.995500
0.0254,149.500,597.327,3.995500
0.0256,157.500,629.606,3.997500
0.0258,154.000,615.538,3.997000
0.0260,144.000,575.784,3.998500
0.0262,132.500,529.801,3.998500
0.0264,138.000,551.241,3.994500
0.0266,141.000,563.366,3.995500
0.0268,156.500,625.296,3.995500
0.0270,165.500,661.503,3.997000
0.0272,150.500,601.398,3.996000
0.0274,147.500,589.336,3.995500
0.0276,139.000,555.444,3.996000
0.0278,135.000,539.662,3.997500
0.0280,138.000,551.862,3.999000
0.0282,134.000,535.196,3.994000
0.0284,143.500,573.570,3.997000
0.0286,140.500,561.508,3.996500
0.0288,143.500,573.498,3.996500
0.0290,138.000,551.517,3.996500
0.0292,139.500,557.372,3.995500
0.0294,154.500,616.919,3.993000
0.0296,143.500,573.139,3.994000
0.0298,139.500,557.651,3.997500
0.0300,128.000,511.808,3.998500
0.0302,109.000,435.510,3.995500
0.0304,110.500,441.613,3.996500
0.0306,108.500,433.566,3.996000
0.0308,104.500,417.634,3.996500
0.0310,102.000,407.541,3.995500
0.0312,113.000,451.661,3.997000
0.0314,131.000,523.476,3.996000
0.0316,138.500,553.238,3.994500
0.0318,142.000,567.574,3.997000
0.0320,147.000,587.485,3.996500
0.0322,152.000,607.772,3.998500
0.0324,150.500,601.624,3.997500
0.0326,145.000,579.638,3.997500
0.0328,151.500,605.470,3.996500
0.0330,157.000,626.979,3.993500
0.0332,242.500,968.909,3.995500
0.0334,219.000,875.234,3.996500
0.0336,192.000,767.328,3.996500
0.0338,183.500,732.991,3.994500
0.0340,223.500,892.994,3.995500
0.0342,204.500,817.284,3.996500
0.0344,186.500,745.907,3.999500
0.0346,194.500,777.514,3.997500
0.0348,200.500,801.198,3.996000
0.0350,194.500,777.319,3.996500
0.0352,181.000,722.281,3.990500
0.0354,203.500,813.288,3.996500
0.0356,212.000,846.516,3.993000
0.0358,211.000,843.261,3.996500
0.0360,196.000,783.118,3.995500
0.0362,202.000,807.091,3.995500
0.0364,197.500,789.309,3.996500
0.0366,179.000,714.926,3.994000
0.0368,198.000,791.307,3.996500
0.0370,208.000,831.272,3.996500
0.0372,190.500,761.333,3.996500
0.0374,188.500,753.340,3.996500
0.0376,208.000,831.272,3.996500
0.0378,193.500,773.419,3.997000
0.0380,192.000,767.136,3.995500
0.0382,204.500,817.182,3.996000
0.0384,183.000,731.909,3.999500
0.0386,152.500,609.619,3.997500
0.0388,153.500,613.386,3.996000
0.0390,159.000,635.602,3.997500
0.0392,143.000,571.500,3.996500
0.0394,147.500,589.484,3.996500
0.0396,140.500,561.578,3.997000
0.0398,139.000,555.583,3.997000
0.0400,145.000,579.492,3.996500
0.0402,149.500,597.028,3.993500
0.0404,162.000,647.433,3.996500
0.0406,157.500,629.528,3.997000
0.0408,149.000,595.553,3.997000
0.0410,140.000,559.650,3.997500
0.0412,135.500,541.526,3.996500
0.0414,143.500,573.498,3.996500
0.0416,141.500,565.434,3.996000
0.0418,152.500,609.542,3.997000
0.0420,150.500,601.398,3.996000
0.0422,149.000,595.180,3.994500
0.0424,144.000,575.496,3.996500
0.0426,134.500,537.395,3.995500
0.0428,136.000,543.456,3.996000
0.0430,152.000,607.544,3.997000
0.0432,155.500,621.611,3.997500
0.0434,149.500,597.552,3.997000
0.0436,152.000,607.468,3.996500
0.0438,147.000,587.559,3.997000
0.0440,134.000,535.263,3.994500
0.0442,141.000,563.436,3.996000
0.0444,136.000,543.456,3.996000
0.0446,138.500,553.515,3.996500
0.0448,134.500,537.462,3.996000
